Timestamp,User,Action,Status
12:00:00,User44,Logout,OK
12:00:01,User44,ClickButton,Success
12:00:02,User11,Login,Completed
12:00:03,User39,CloseApp,Success
12:00:04,User15,CloseApp,Success
12:00:05,User11,Login,Success
12:00:06,User15,LoadDashboard,Success
12:00:07,User18,Login,Completed
12:00:08,User37,Refresh,Success
12:00:09,User18,LoadDashboard,Success
12:00:10,User46,OpenSettings,Completed
12:00:11,User15,Login,Success
12:00:12,User30,ViewPage,OK
12:00:13,User49,Logout,Success
12:00:14,User49,OpenSettings,Completed
12:00:15,User2,ClickButton,Completed
12:00:16,User16,CloseApp,Completed
12:00:17,User30,Refresh,OK
12:00:18,User5,Refresh,Completed
12:00:19,User29,UpdateProfile,Success
12:00:20,User15,Login,Completed
12:00:21,User45,SubmitForm,Success
12:00:22,User44,SubmitForm,Success
12:00:23,User26,ClickButton,Success
12:00:24,User22,ClickButton,Success
12:00:25,User26,UpdateProfile,Completed
12:00:26,User21,ClickButton,Completed
12:00:27,User15,Logout,Success
12:00:28,User34,LoadDashboard,Success
12:00:29,User36,ClickButton,OK
12:00:30,User42,Logout,Completed
12:00:31,User30,CloseApp,Completed
12:00:32,User25,CloseApp,Completed
12:00:33,User18,CloseApp,OK
12:00:34,User22,CloseApp,OK
12:00:35,User24,Logout,OK
12:00:36,User24,ClickButton,Success
12:00:37,User27,SubmitForm,Completed
12:00:38,User18,UpdateProfile,Success
12:00:39,User47,OpenSettings,OK
12:00:40,User39,ViewPage,OK
12:00:41,User17,CloseApp,Completed
12:00:42,User38,ClickButton,OK
12:00:43,User40,UpdateProfile,Success
12:00:44,User11,LoadDashboard,OK
12:00:45,User3,ClickButton,Completed
12:00:46,User49,LoadDashboard,OK
12:00:47,User33,UpdateProfile,Success
12:00:48,User11,ClickButton,OK
12:00:49,User3,SubmitForm,OK
12:00:50,User35,Logout,OK
12:00:51,User34,ViewPage,Success
12:00:52,User29,OpenSettings,OK
12:00:53,User32,Logout,Completed
12:00:54,User18,Refresh,OK
12:00:55,User7,LoadDashboard,OK
12:00:56,User44,Refresh,OK
12:00:57,User37,LoadDashboard,Completed
12:00:58,User17,OpenSettings,OK
12:00:59,User36,UpdateProfile,Success
12:01:00,User6,Login,Completed
12:01:01,User4,Refresh,OK
12:01:02,User44,ViewPage,Completed
12:01:03,User49,Refresh,OK
12:01:04,User28,LoadDashboard,OK
12:01:05,User18,Refresh,OK
12:01:06,User20,SubmitForm,Completed
12:01:07,User32,Logout,Completed
12:01:08,User35,ViewPage,OK
12:01:09,User17,ViewPage,Success
12:01:10,User38,ClickButton,OK
12:01:11,User1,CloseApp,Success
12:01:12,User20,Login,Success
12:01:13,User46,UpdateProfile,OK
12:01:14,User28,OpenSettings,Completed
12:01:15,User18,OpenSettings,Completed
12:01:16,User44,OpenSettings,Success
12:01:17,User37,ClickButton,OK
12:01:18,User14,ViewPage,Completed
12:01:19,User26,OpenSettings,OK
12:01:20,User20,SubmitForm,Completed
12:01:21,User29,ClickButton,Success
12:01:22,User39,SubmitForm,Success
12:01:23,User41,Logout,OK
12:01:24,User21,ViewPage,OK
12:01:25,User42,Refresh,OK
12:01:26,User7,Login,OK
12:01:27,User48,CloseApp,Completed
12:01:28,User22,OpenSettings,Success
12:01:29,User39,CloseApp,Completed
12:01:30,User19,CloseApp,OK
12:01:31,User46,Logout,Success
12:01:32,User29,Login,Success
12:01:33,User24,OpenSettings,Success
12:01:34,User26,OpenSettings,Completed
12:01:35,User36,ClickButton,OK
12:01:36,User20,LoadDashboard,OK
12:01:37,User20,SubmitForm,Completed
12:01:38,User45,LoadDashboard,Success
12:01:39,User31,LoadDashboard,Completed
