Packet_Size,Protocol_Type,Info,Traffic_Type,Source_IP,Destination_IP
126,TCP,Port Scan,Normal,172.16.83.81,192.168.214.36
664,UDP,Heartbeat Packet,Normal,172.16.231.10,192.168.60.147
956,UDP,Heartbeat Packet,Normal,172.16.223.15,192.168.211.94
987,UDP,Heartbeat Packet,Malicious,172.16.99.84,192.168.211.1
1083,TCP,VPN Tunnel,Malicious,172.16.216.100,192.168.41.185
1129,ICMP,Web Request,Malicious,172.16.19.140,192.168.79.209
1343,TCP,Email Transmission,Malicious,172.16.86.143,192.168.53.172
1118,TCP,Database Query,Normal,172.16.61.192,192.168.217.223
1076,TCP,Email Transmission,Malicious,172.16.45.165,192.168.77.164
93,ICMP,Botnet Traffic,Normal,172.16.43.125,192.168.104.99
823,UDP,Data Exfiltration,Normal,172.16.93.242,192.168.92.235
1373,UDP,DDoS SYN Flood,Normal,172.16.235.209,192.168.198.26
902,ICMP,Web Request,Normal,172.16.189.143,192.168.228.34
93,ICMP,Heartbeat Packet,Normal,172.16.245.115,192.168.227.63
1262,UDP,Data Exfiltration,Normal,172.16.183.131,192.168.239.108
1001,ICMP,User Login,Malicious,172.16.217.251,192.168.193.97
1129,UDP,API Request,Malicious,172.16.181.28,192.168.24.196
445,ICMP,VPN Tunnel,Normal,172.16.124.199,192.168.133.203
1096,ICMP,ARP Spoofing,Malicious,172.16.62.76,192.168.86.98
342,UDP,Port Scan,Malicious,172.16.116.188,192.168.167.227
63,UDP,Cloud Sync,Malicious,172.16.203.176,192.168.163.44
776,TCP,Data Exfiltration,Normal,172.16.128.76,192.168.55.203
1057,TCP,Database Query,Malicious,172.16.140.61,192.168.45.87
100,TCP,ARP Spoofing,Normal,172.16.56.90,192.168.40.25
153,UDP,File Transfer,Normal,172.16.244.7,192.168.51.190
628,ICMP,Database Query,Malicious,172.16.75.15,192.168.14.119
337,UDP,Botnet Traffic,Malicious,172.16.179.194,192.168.91.110
377,UDP,API Request,Malicious,172.16.64.250,192.168.14.53
1287,ICMP,Data Exfiltration,Normal,172.16.69.72,192.168.78.213
1469,ICMP,VPN Tunnel,Malicious,172.16.79.183,192.168.140.7
607,UDP,Suspicious Payload,Normal,172.16.115.33,192.168.121.43
608,TCP,Malware Command,Malicious,172.16.172.203,192.168.11.21
80,ICMP,File Transfer,Malicious,172.16.208.12,192.168.172.156
1211,TCP,Brute Force Login,Malicious,172.16.33.45,192.168.147.30
364,UDP,File Transfer,Normal,172.16.122.78,192.168.95.178
358,ICMP,User Login,Malicious,172.16.68.144,192.168.238.1
389,UDP,Malware Command,Malicious,172.16.132.21,192.168.235.69
999,TCP,Data Exfiltration,Malicious,172.16.253.108,192.168.185.186
378,TCP,Port Scan,Normal,172.16.221.249,192.168.232.188
415,UDP,Suspicious Payload,Malicious,172.16.1.67,192.168.64.1
1465,TCP,Suspicious Payload,Normal,172.16.70.200,192.168.103.87
1019,TCP,ARP Spoofing,Normal,172.16.187.7,192.168.102.154
443,UDP,Brute Force Login,Normal,172.16.11.184,192.168.32.47
1316,TCP,Port Scan,Normal,172.16.25.190,192.168.194.228
485,UDP,Unauthorized Access,Normal,172.16.208.94,192.168.223.88
528,TCP,SQL Injection,Normal,172.16.167.229,192.168.61.79
963,UDP,DDoS SYN Flood,Malicious,172.16.56.210,192.168.236.52
1229,TCP,VPN Tunnel,Malicious,172.16.187.211,192.168.43.2
900,ICMP,SQL Injection,Normal,172.16.190.14,192.168.188.28
552,UDP,Malware Command,Normal,172.16.1.138,192.168.108.134
285,ICMP,ARP Spoofing,Normal,172.16.74.72,192.168.181.104
385,TCP,User Login,Normal,172.16.82.152,192.168.90.252
209,ICMP,ARP Spoofing,Normal,172.16.1.134,192.168.122.117
310,ICMP,VPN Tunnel,Normal,172.16.51.117,192.168.233.1
1173,TCP,SQL Injection,Normal,172.16.165.175,192.168.135.171
1194,UDP,API Request,Normal,172.16.225.169,192.168.58.73
684,UDP,Port Scan,Normal,172.16.11.241,192.168.32.50
947,UDP,Botnet Traffic,Normal,172.16.64.97,192.168.23.212
368,TCP,Database Query,Normal,172.16.44.86,192.168.229.66
987,TCP,Port Scan,Normal,172.16.128.65,192.168.101.188
706,TCP,Port Scan,Malicious,172.16.99.177,192.168.239.139
176,UDP,Database Query,Malicious,172.16.211.84,192.168.170.64
527,UDP,Malware Command,Normal,172.16.192.223,192.168.141.82
1067,TCP,User Login,Normal,172.16.212.39,192.168.59.118
860,ICMP,Botnet Traffic,Normal,172.16.37.225,192.168.91.3
634,TCP,DNS Query,Normal,172.16.69.89,192.168.88.36
71,UDP,File Transfer,Normal,172.16.195.156,192.168.232.142
425,TCP,Suspicious Payload,Malicious,172.16.143.138,192.168.175.242
1169,UDP,Malware Command,Normal,172.16.37.195,192.168.173.243
50,UDP,Database Query,Normal,172.16.43.75,192.168.185.113
829,ICMP,DDoS SYN Flood,Malicious,172.16.204.57,192.168.212.198
1192,TCP,File Transfer,Malicious,172.16.3.176,192.168.140.4
334,UDP,Web Request,Malicious,172.16.219.193,192.168.29.3
1080,UDP,Port Scan,Normal,172.16.222.243,192.168.99.223
125,TCP,Email Transmission,Normal,172.16.174.253,192.168.148.111
75,ICMP,DNS Query,Malicious,172.16.207.242,192.168.67.182
541,TCP,ARP Spoofing,Malicious,172.16.220.10,192.168.186.165
774,ICMP,Unauthorized Access,Normal,172.16.99.47,192.168.142.104
1020,TCP,Cloud Sync,Malicious,172.16.220.88,192.168.107.249
1173,TCP,SQL Injection,Malicious,172.16.193.185,192.168.115.113
1061,TCP,Database Query,Normal,172.16.81.137,192.168.125.238
1274,ICMP,Email Transmission,Normal,172.16.13.30,192.168.135.77
287,TCP,Heartbeat Packet,Normal,172.16.188.94,192.168.249.7
1036,UDP,API Request,Normal,172.16.246.103,192.168.125.8
1014,ICMP,Port Scan,Normal,172.16.214.20,192.168.149.142
367,TCP,ARP Spoofing,Malicious,172.16.224.207,192.168.177.71
1480,UDP,Port Scan,Malicious,172.16.27.93,192.168.34.29
490,ICMP,SQL Injection,Malicious,172.16.127.168,192.168.169.231
436,ICMP,Port Scan,Normal,172.16.45.244,192.168.254.95
685,TCP,SQL Injection,Malicious,172.16.75.152,192.168.53.100
1349,TCP,Web Request,Malicious,172.16.25.48,192.168.1.231
701,UDP,Malware Command,Normal,172.16.144.178,192.168.108.248
579,UDP,Data Exfiltration,Malicious,172.16.187.7,192.168.83.182
757,ICMP,Database Query,Malicious,172.16.149.231,192.168.188.137
414,UDP,Email Transmission,Malicious,172.16.198.211,192.168.84.108
1188,ICMP,File Transfer,Malicious,172.16.187.20,192.168.119.86
246,ICMP,DDoS SYN Flood,Malicious,172.16.16.136,192.168.39.116
1475,UDP,DNS Query,Normal,172.16.37.34,192.168.185.205
1007,UDP,Web Request,Malicious,172.16.5.23,192.168.138.163
839,ICMP,Email Transmission,Normal,172.16.44.237,192.168.166.75
1229,ICMP,Brute Force Login,Normal,172.16.220.91,192.168.184.3
1311,UDP,DNS Query,Normal,172.16.211.1,192.168.32.183
571,UDP,Cloud Sync,Normal,172.16.232.137,192.168.107.213
177,TCP,User Login,Normal,172.16.112.185,192.168.175.73
495,UDP,Brute Force Login,Malicious,172.16.228.125,192.168.12.171
861,TCP,Heartbeat Packet,Normal,172.16.173.168,192.168.57.167
1080,UDP,VPN Tunnel,Malicious,172.16.135.185,192.168.231.9
805,ICMP,Email Transmission,Normal,172.16.158.99,192.168.232.228
1221,UDP,Unauthorized Access,Normal,172.16.10.137,192.168.234.176
799,ICMP,Brute Force Login,Malicious,172.16.96.234,192.168.66.102
1007,UDP,Cloud Sync,Malicious,172.16.13.35,192.168.167.67
1200,UDP,DNS Query,Normal,172.16.82.31,192.168.91.44
202,UDP,Heartbeat Packet,Malicious,172.16.52.25,192.168.238.56
180,TCP,DDoS SYN Flood,Normal,172.16.166.50,192.168.74.152
1217,ICMP,Botnet Traffic,Normal,172.16.18.121,192.168.16.28
597,ICMP,Database Query,Malicious,172.16.208.208,192.168.128.88
288,TCP,SQL Injection,Normal,172.16.224.130,192.168.152.60
245,UDP,Malware Command,Malicious,172.16.68.249,192.168.211.227
1300,UDP,API Request,Normal,172.16.134.69,192.168.105.253
1481,ICMP,Malware Command,Normal,172.16.15.44,192.168.153.201
1408,ICMP,Unauthorized Access,Normal,172.16.8.128,192.168.58.136
356,TCP,SQL Injection,Normal,172.16.59.172,192.168.119.186
346,UDP,DDoS SYN Flood,Normal,172.16.54.119,192.168.217.227
829,ICMP,Cloud Sync,Malicious,172.16.33.136,192.168.197.139
51,ICMP,Data Exfiltration,Malicious,172.16.102.179,192.168.10.139
1392,TCP,VPN Tunnel,Malicious,172.16.72.159,192.168.133.117
