Packet_Size,Protocol_Type,Info,Traffic_Type,Source_IP,Destination_IP
799,TCP,File Transfer,Malicious,172.16.104.116,192.168.92.233
1073,ICMP,Botnet Traffic,Normal,172.16.142.75,192.168.65.86
201,ICMP,API Request,Malicious,172.16.194.46,192.168.32.192
490,ICMP,DDoS SYN Flood,Normal,172.16.28.93,192.168.129.141
212,TCP,API Request,Normal,172.16.203.101,192.168.12.170
1430,TCP,Botnet Traffic,Malicious,172.16.149.250,192.168.88.225
317,ICMP,User Login,Malicious,172.16.167.101,192.168.134.87
321,ICMP,Botnet Traffic,Normal,172.16.195.73,192.168.199.151
276,ICMP,DNS Query,Malicious,172.16.147.252,192.168.192.238
591,ICMP,User Login,Malicious,172.16.212.20,192.168.227.67
1247,ICMP,DNS Query,Normal,172.16.174.215,192.168.155.148
615,TCP,VPN Tunnel,Normal,172.16.237.103,192.168.170.46
271,ICMP,API Request,Malicious,172.16.60.68,192.168.128.46
607,UDP,Database Query,Normal,172.16.74.83,192.168.136.150
1261,ICMP,VPN Tunnel,Malicious,172.16.143.211,192.168.243.39
1070,TCP,Data Exfiltration,Malicious,172.16.202.133,192.168.88.201
997,TCP,File Transfer,Normal,172.16.229.80,192.168.246.218
340,TCP,API Request,Malicious,172.16.53.94,192.168.110.238
772,ICMP,File Transfer,Malicious,172.16.170.195,192.168.12.133
293,ICMP,Unauthorized Access,Malicious,172.16.170.148,192.168.120.219
709,UDP,ARP Spoofing,Normal,172.16.85.215,192.168.131.95
450,ICMP,VPN Tunnel,Normal,172.16.56.5,192.168.9.16
666,TCP,Cloud Sync,Malicious,172.16.232.214,192.168.216.105
249,ICMP,Cloud Sync,Malicious,172.16.144.150,192.168.214.151
826,TCP,Web Request,Normal,172.16.125.2,192.168.133.62
458,UDP,Suspicious Payload,Malicious,172.16.16.156,192.168.175.91
681,UDP,VPN Tunnel,Malicious,172.16.23.245,192.168.74.173
196,UDP,Data Exfiltration,Malicious,172.16.131.92,192.168.189.108
217,UDP,VPN Tunnel,Normal,172.16.181.108,192.168.199.31
163,ICMP,Suspicious Payload,Normal,172.16.113.213,192.168.99.254
1061,TCP,DNS Query,Malicious,172.16.229.131,192.168.47.229
1322,TCP,Botnet Traffic,Normal,172.16.93.193,192.168.148.212
1168,ICMP,Database Query,Malicious,172.16.232.94,192.168.237.204
415,TCP,Malware Command,Normal,172.16.240.191,192.168.34.90
997,UDP,DDoS SYN Flood,Normal,172.16.233.253,192.168.26.100
606,UDP,DNS Query,Malicious,172.16.219.35,192.168.201.104
532,TCP,Data Exfiltration,Normal,172.16.183.95,192.168.19.89
889,UDP,Botnet Traffic,Normal,172.16.92.103,192.168.23.180
551,TCP,Database Query,Malicious,172.16.172.146,192.168.27.40
1061,ICMP,VPN Tunnel,Normal,172.16.115.161,192.168.108.62
391,TCP,SQL Injection,Normal,172.16.87.11,192.168.85.69
346,ICMP,Email Transmission,Normal,172.16.112.252,192.168.124.99
431,TCP,Web Request,Malicious,172.16.37.24,192.168.188.171
1372,UDP,Suspicious Payload,Normal,172.16.43.2,192.168.123.248
522,ICMP,DDoS SYN Flood,Normal,172.16.100.238,192.168.230.26
856,ICMP,User Login,Normal,172.16.197.126,192.168.201.62
85,TCP,Botnet Traffic,Normal,172.16.106.247,192.168.39.72
67,UDP,ARP Spoofing,Malicious,172.16.208.243,192.168.73.154
1296,UDP,Data Exfiltration,Malicious,172.16.49.50,192.168.66.41
1302,TCP,VPN Tunnel,Malicious,172.16.157.146,192.168.173.93
283,UDP,Port Scan,Malicious,172.16.67.199,192.168.188.123
65,TCP,Data Exfiltration,Malicious,172.16.137.247,192.168.102.143
536,UDP,File Transfer,Normal,172.16.117.52,192.168.150.243
1191,ICMP,User Login,Normal,172.16.74.227,192.168.156.141
658,ICMP,Email Transmission,Malicious,172.16.134.223,192.168.102.28
1097,TCP,DNS Query,Malicious,172.16.99.139,192.168.172.125
462,UDP,Heartbeat Packet,Normal,172.16.174.85,192.168.110.191
1359,ICMP,Unauthorized Access,Malicious,172.16.108.249,192.168.254.68
1370,TCP,SQL Injection,Malicious,172.16.208.236,192.168.66.22
1339,UDP,Data Exfiltration,Normal,172.16.193.154,192.168.115.179
330,UDP,Malware Command,Normal,172.16.65.89,192.168.173.11
1106,UDP,DNS Query,Malicious,172.16.115.197,192.168.207.17
831,TCP,Email Transmission,Normal,172.16.77.119,192.168.69.78
343,TCP,API Request,Malicious,172.16.134.186,192.168.83.39
410,UDP,Web Request,Malicious,172.16.153.176,192.168.233.45
729,TCP,Web Request,Malicious,172.16.250.230,192.168.254.69
1443,ICMP,ARP Spoofing,Malicious,172.16.155.225,192.168.62.13
1016,ICMP,VPN Tunnel,Malicious,172.16.71.151,192.168.151.199
1423,TCP,Data Exfiltration,Normal,172.16.124.12,192.168.3.206
135,ICMP,Cloud Sync,Malicious,172.16.246.10,192.168.120.102
1193,UDP,Database Query,Normal,172.16.175.39,192.168.5.6
1183,UDP,DDoS SYN Flood,Malicious,172.16.95.97,192.168.186.39
1306,TCP,File Transfer,Normal,172.16.151.20,192.168.253.32
400,UDP,DNS Query,Malicious,172.16.251.16,192.168.15.205
1105,ICMP,Web Request,Normal,172.16.235.63,192.168.152.172
145,ICMP,VPN Tunnel,Normal,172.16.8.44,192.168.68.22
1270,UDP,Database Query,Malicious,172.16.107.115,192.168.73.252
804,ICMP,API Request,Normal,172.16.169.63,192.168.75.161
801,UDP,Email Transmission,Normal,172.16.136.7,192.168.213.62
1067,TCP,Web Request,Malicious,172.16.189.223,192.168.1.95
981,UDP,User Login,Normal,172.16.92.197,192.168.231.141
614,TCP,Data Exfiltration,Normal,172.16.32.18,192.168.4.11
1387,TCP,Cloud Sync,Malicious,172.16.157.198,192.168.58.217
1067,ICMP,Email Transmission,Malicious,172.16.193.242,192.168.2.74
655,TCP,DDoS SYN Flood,Malicious,172.16.180.20,192.168.42.104
576,TCP,Database Query,Normal,172.16.129.2,192.168.83.198
826,UDP,API Request,Malicious,172.16.208.217,192.168.239.198
962,ICMP,SQL Injection,Normal,172.16.136.245,192.168.1.65
414,ICMP,Data Exfiltration,Normal,172.16.154.25,192.168.108.111
448,TCP,Suspicious Payload,Normal,172.16.211.133,192.168.185.202
1226,ICMP,Botnet Traffic,Malicious,172.16.102.203,192.168.90.140
1412,TCP,Database Query,Normal,172.16.175.147,192.168.246.241
