Packet_Size,Protocol_Type,Threat_Type,Risk_Level,Source_IP,Destination_IP,Label
329,ICMP,Port Scan,Critical,192.168.100.211,10.0.50.189,Malicious
1369,TCP,SQL Injection,High,192.168.100.210,10.0.50.203,Malicious
1261,ICMP,Botnet Traffic,Critical,192.168.100.230,10.0.50.44,Malicious
1023,TCP,Malware Command,Critical,192.168.100.234,10.0.50.214,Malicious
1494,ICMP,Botnet Traffic,High,192.168.100.186,10.0.50.201,Malicious
293,ICMP,Port Scan,Critical,192.168.100.220,10.0.50.103,Malicious
622,ICMP,ARP Spoofing,Critical,192.168.100.151,10.0.50.64,Malicious
993,UDP,ARP Spoofing,Critical,192.168.100.213,10.0.50.94,Malicious
1202,TCP,Suspicious Payload,High,192.168.100.227,10.0.50.189,Malicious
419,ICMP,SQL Injection,High,192.168.100.102,10.0.50.121,Malicious
963,UDP,Malware Command,High,192.168.100.90,10.0.50.2,Malicious
1054,TCP,Botnet Traffic,Critical,192.168.100.201,10.0.50.95,Malicious
1163,ICMP,SQL Injection,Critical,192.168.100.239,10.0.50.67,Malicious
1234,ICMP,Unauthorized Access,High,192.168.100.30,10.0.50.242,Malicious
937,UDP,Unauthorized Access,High,192.168.100.85,10.0.50.188,Malicious
595,ICMP,Malware Command,Critical,192.168.100.198,10.0.50.213,Malicious
531,TCP,DDoS SYN Flood,High,192.168.100.104,10.0.50.203,Malicious
685,TCP,Suspicious Payload,Critical,192.168.100.4,10.0.50.49,Malicious
1144,TCP,SQL Injection,High,192.168.100.34,10.0.50.63,Malicious
858,TCP,SQL Injection,High,192.168.100.144,10.0.50.31,Malicious
1420,UDP,SQL Injection,High,192.168.100.79,10.0.50.123,Malicious
930,UDP,Unauthorized Access,Critical,192.168.100.190,10.0.50.96,Malicious
1332,UDP,Botnet Traffic,Critical,192.168.100.144,10.0.50.2,Malicious
268,UDP,SQL Injection,Critical,192.168.100.215,10.0.50.84,Malicious
670,UDP,Malware Command,High,192.168.100.240,10.0.50.209,Malicious
888,TCP,Port Scan,Critical,192.168.100.48,10.0.50.98,Malicious
987,ICMP,Port Scan,Critical,192.168.100.3,10.0.50.234,Malicious
1284,TCP,ARP Spoofing,Critical,192.168.100.151,10.0.50.54,Malicious
1300,UDP,DDoS SYN Flood,High,192.168.100.219,10.0.50.182,Malicious
447,UDP,SQL Injection,Critical,192.168.100.86,10.0.50.123,Malicious
937,TCP,Botnet Traffic,Critical,192.168.100.120,10.0.50.147,Malicious
697,UDP,Port Scan,High,192.168.100.204,10.0.50.228,Malicious
1296,TCP,Data Exfiltration,Critical,192.168.100.137,10.0.50.11,Malicious
453,ICMP,Unauthorized Access,Critical,192.168.100.65,10.0.50.28,Malicious
383,TCP,Unauthorized Access,Critical,192.168.100.168,10.0.50.174,Malicious
274,UDP,Brute Force Login,Critical,192.168.100.52,10.0.50.175,Malicious
479,ICMP,Botnet Traffic,Critical,192.168.100.34,10.0.50.2,Malicious
1052,ICMP,DDoS SYN Flood,High,192.168.100.22,10.0.50.142,Malicious
322,UDP,Suspicious Payload,High,192.168.100.18,10.0.50.108,Malicious
296,TCP,Brute Force Login,Critical,192.168.100.236,10.0.50.23,Malicious
255,TCP,Data Exfiltration,High,192.168.100.222,10.0.50.30,Malicious
726,TCP,Port Scan,Critical,192.168.100.29,10.0.50.152,Malicious
665,ICMP,SQL Injection,High,192.168.100.189,10.0.50.178,Malicious
974,TCP,Suspicious Payload,High,192.168.100.173,10.0.50.74,Malicious
1129,TCP,Brute Force Login,High,192.168.100.56,10.0.50.134,Malicious
1191,UDP,DDoS SYN Flood,Critical,192.168.100.130,10.0.50.147,Malicious
1201,ICMP,ARP Spoofing,High,192.168.100.31,10.0.50.92,Malicious
561,ICMP,Botnet Traffic,Critical,192.168.100.247,10.0.50.94,Malicious
1080,ICMP,Data Exfiltration,High,192.168.100.86,10.0.50.113,Malicious
719,UDP,DDoS SYN Flood,Critical,192.168.100.150,10.0.50.61,Malicious
543,UDP,DDoS SYN Flood,High,192.168.100.195,10.0.50.224,Malicious
435,ICMP,DDoS SYN Flood,High,192.168.100.207,10.0.50.177,Malicious
380,TCP,Unauthorized Access,High,192.168.100.132,10.0.50.115,Malicious
993,ICMP,ARP Spoofing,Critical,192.168.100.58,10.0.50.15,Malicious
1115,TCP,SQL Injection,High,192.168.100.247,10.0.50.50,Malicious
1105,ICMP,Unauthorized Access,Critical,192.168.100.102,10.0.50.44,Malicious
1409,TCP,Malware Command,High,192.168.100.81,10.0.50.165,Malicious
