Packet_Size,Protocol_Type,Threat_Type,Risk_Level,Source_IP,Destination_IP,Label
1481,UDP,Suspicious Payload,High,192.168.100.29,10.0.50.129,Malicious
1447,TCP,Malware Command,High,192.168.100.45,10.0.50.236,Malicious
1483,TCP,Data Exfiltration,Critical,192.168.100.57,10.0.50.170,Malicious
445,UDP,DDoS SYN Flood,High,192.168.100.14,10.0.50.28,Malicious
1261,UDP,Port Scan,Critical,192.168.100.66,10.0.50.126,Malicious
864,ICMP,Brute Force Login,High,192.168.100.15,10.0.50.246,Malicious
292,UDP,DDoS SYN Flood,Critical,192.168.100.148,10.0.50.10,Malicious
557,ICMP,Suspicious Payload,High,192.168.100.68,10.0.50.95,Malicious
795,TCP,Botnet Traffic,Critical,192.168.100.149,10.0.50.56,Malicious
633,TCP,Port Scan,High,192.168.100.150,10.0.50.43,Malicious
1129,TCP,DDoS SYN Flood,High,192.168.100.234,10.0.50.37,Malicious
1437,TCP,Data Exfiltration,Critical,192.168.100.27,10.0.50.197,Malicious
725,UDP,Suspicious Payload,Critical,192.168.100.29,10.0.50.119,Malicious
518,TCP,Port Scan,High,192.168.100.185,10.0.50.102,Malicious
1384,UDP,SQL Injection,High,192.168.100.139,10.0.50.142,Malicious
1280,TCP,Brute Force Login,Critical,192.168.100.235,10.0.50.10,Malicious
609,UDP,SQL Injection,Critical,192.168.100.177,10.0.50.225,Malicious
214,TCP,Port Scan,High,192.168.100.165,10.0.50.38,Malicious
878,TCP,ARP Spoofing,High,192.168.100.195,10.0.50.182,Malicious
1245,TCP,Brute Force Login,High,192.168.100.40,10.0.50.27,Malicious
1285,ICMP,Suspicious Payload,High,192.168.100.18,10.0.50.254,Malicious
685,UDP,SQL Injection,High,192.168.100.9,10.0.50.101,Malicious
672,ICMP,Data Exfiltration,High,192.168.100.115,10.0.50.133,Malicious
1147,UDP,Malware Command,High,192.168.100.149,10.0.50.87,Malicious
421,ICMP,Brute Force Login,High,192.168.100.17,10.0.50.191,Malicious
1022,UDP,Botnet Traffic,High,192.168.100.7,10.0.50.237,Malicious
914,ICMP,ARP Spoofing,Critical,192.168.100.63,10.0.50.44,Malicious
234,TCP,SQL Injection,Critical,192.168.100.5,10.0.50.109,Malicious
1375,TCP,ARP Spoofing,High,192.168.100.30,10.0.50.226,Malicious
802,UDP,SQL Injection,Critical,192.168.100.147,10.0.50.20,Malicious
897,UDP,Botnet Traffic,Critical,192.168.100.20,10.0.50.75,Malicious
880,ICMP,Data Exfiltration,High,192.168.100.101,10.0.50.236,Malicious
1324,ICMP,Brute Force Login,High,192.168.100.158,10.0.50.125,Malicious
725,UDP,SQL Injection,High,192.168.100.1,10.0.50.241,Malicious
1142,ICMP,DDoS SYN Flood,High,192.168.100.140,10.0.50.241,Malicious
401,ICMP,Suspicious Payload,High,192.168.100.122,10.0.50.250,Malicious
494,UDP,DDoS SYN Flood,High,192.168.100.182,10.0.50.185,Malicious
674,TCP,SQL Injection,High,192.168.100.119,10.0.50.51,Malicious
646,UDP,Malware Command,High,192.168.100.254,10.0.50.136,Malicious
1087,ICMP,Malware Command,High,192.168.100.195,10.0.50.150,Malicious
1162,UDP,Suspicious Payload,High,192.168.100.13,10.0.50.164,Malicious
787,TCP,Data Exfiltration,High,192.168.100.193,10.0.50.153,Malicious
784,ICMP,SQL Injection,High,192.168.100.230,10.0.50.199,Malicious
1104,UDP,ARP Spoofing,Critical,192.168.100.227,10.0.50.83,Malicious
571,ICMP,Unauthorized Access,High,192.168.100.21,10.0.50.242,Malicious
733,UDP,DDoS SYN Flood,High,192.168.100.238,10.0.50.113,Malicious
