Packet_Size,Protocol_Type,Info,Traffic_Type,Source_IP,Destination_IP
901,ICMP,Web Request,Normal,172.16.242.179,192.168.58.76
1175,TCP,DNS Query,Malicious,172.16.251.34,192.168.119.20
1295,ICMP,Suspicious Payload,Malicious,172.16.75.160,192.168.230.222
1337,ICMP,DDoS SYN Flood,Malicious,172.16.63.181,192.168.129.149
598,ICMP,SQL Injection,Malicious,172.16.209.212,192.168.4.31
849,TCP,Brute Force Login,Malicious,172.16.44.32,192.168.213.30
623,ICMP,File Transfer,Normal,172.16.81.244,192.168.123.7
974,TCP,DNS Query,Normal,172.16.49.48,192.168.160.167
1374,ICMP,Heartbeat Packet,Normal,172.16.39.121,192.168.241.106
874,ICMP,DNS Query,Normal,172.16.71.196,192.168.252.81
1043,ICMP,Brute Force Login,Normal,172.16.109.122,192.168.83.228
546,ICMP,DNS Query,Normal,172.16.177.248,192.168.161.212
1145,UDP,API Request,Malicious,172.16.32.194,192.168.225.164
377,UDP,DDoS SYN Flood,Malicious,172.16.172.170,192.168.83.163
814,ICMP,Cloud Sync,Malicious,172.16.253.41,192.168.66.41
121,ICMP,Port Scan,Normal,172.16.51.44,192.168.46.54
1295,ICMP,API Request,Malicious,172.16.148.11,192.168.47.248
1121,ICMP,Botnet Traffic,Malicious,172.16.132.71,192.168.203.241
450,UDP,Unauthorized Access,Normal,172.16.150.54,192.168.6.50
1279,ICMP,DNS Query,Normal,172.16.173.204,192.168.68.61
66,UDP,Email Transmission,Normal,172.16.148.110,192.168.190.124
326,TCP,Botnet Traffic,Malicious,172.16.229.74,192.168.211.103
825,UDP,Botnet Traffic,Malicious,172.16.86.37,192.168.79.127
1491,ICMP,Botnet Traffic,Malicious,172.16.80.234,192.168.110.129
731,ICMP,Malware Command,Malicious,172.16.62.76,192.168.50.22
303,TCP,Web Request,Malicious,172.16.253.64,192.168.212.197
990,UDP,Unauthorized Access,Malicious,172.16.46.48,192.168.132.195
1182,TCP,API Request,Malicious,172.16.3.91,192.168.88.39
906,UDP,Suspicious Payload,Normal,172.16.250.17,192.168.4.107
869,ICMP,Port Scan,Normal,172.16.240.76,192.168.126.84
925,TCP,Botnet Traffic,Normal,172.16.66.172,192.168.67.26
302,TCP,DDoS SYN Flood,Normal,172.16.29.144,192.168.186.8
125,ICMP,Data Exfiltration,Normal,172.16.249.44,192.168.40.76
1398,UDP,Unauthorized Access,Malicious,172.16.111.55,192.168.92.45
619,TCP,DDoS SYN Flood,Malicious,172.16.215.193,192.168.149.118
1033,UDP,Database Query,Malicious,172.16.157.97,192.168.82.5
1167,TCP,Malware Command,Malicious,172.16.219.81,192.168.81.10
1319,UDP,Email Transmission,Malicious,172.16.204.236,192.168.6.82
885,UDP,Unauthorized Access,Normal,172.16.226.123,192.168.221.190
99,TCP,Cloud Sync,Malicious,172.16.226.211,192.168.37.144
184,ICMP,API Request,Normal,172.16.63.236,192.168.77.205
384,TCP,SQL Injection,Malicious,172.16.31.85,192.168.139.1
105,ICMP,API Request,Malicious,172.16.6.199,192.168.159.131
193,ICMP,Email Transmission,Malicious,172.16.197.109,192.168.234.22
810,TCP,Port Scan,Normal,172.16.121.31,192.168.222.251
1246,ICMP,SQL Injection,Malicious,172.16.230.142,192.168.65.169
790,UDP,Email Transmission,Normal,172.16.59.77,192.168.219.136
475,UDP,API Request,Malicious,172.16.49.128,192.168.192.136
364,TCP,Suspicious Payload,Malicious,172.16.10.129,192.168.99.146
212,UDP,Heartbeat Packet,Malicious,172.16.125.26,192.168.193.1
864,TCP,Malware Command,Malicious,172.16.114.217,192.168.69.64
1036,TCP,File Transfer,Malicious,172.16.228.10,192.168.161.9
1339,TCP,Web Request,Malicious,172.16.132.165,192.168.201.115
823,TCP,Botnet Traffic,Malicious,172.16.138.192,192.168.206.29
608,ICMP,Heartbeat Packet,Normal,172.16.161.102,192.168.170.89
87,ICMP,DNS Query,Normal,172.16.204.13,192.168.197.109
1151,UDP,Port Scan,Malicious,172.16.62.18,192.168.207.24
84,UDP,Port Scan,Normal,172.16.251.218,192.168.135.152
552,UDP,File Transfer,Malicious,172.16.237.16,192.168.88.235
936,UDP,Botnet Traffic,Normal,172.16.200.199,192.168.34.221
667,UDP,Malware Command,Malicious,172.16.139.212,192.168.145.233
991,TCP,DNS Query,Normal,172.16.199.15,192.168.144.199
606,UDP,VPN Tunnel,Malicious,172.16.174.228,192.168.233.96
1227,ICMP,Web Request,Normal,172.16.192.161,192.168.244.86
941,UDP,Email Transmission,Normal,172.16.17.222,192.168.201.24
778,TCP,Web Request,Malicious,172.16.151.59,192.168.181.98
107,UDP,Malware Command,Normal,172.16.201.246,192.168.161.151
721,UDP,User Login,Normal,172.16.230.218,192.168.77.242
1051,ICMP,Cloud Sync,Normal,172.16.177.156,192.168.37.212
1346,TCP,Brute Force Login,Malicious,172.16.117.135,192.168.20.17
382,TCP,User Login,Normal,172.16.2.48,192.168.89.45
196,ICMP,SQL Injection,Normal,172.16.15.249,192.168.149.106
336,UDP,Email Transmission,Malicious,172.16.214.161,192.168.177.157
1395,TCP,Malware Command,Normal,172.16.36.67,192.168.61.131
311,TCP,Unauthorized Access,Normal,172.16.134.187,192.168.55.57
713,UDP,Web Request,Malicious,172.16.87.23,192.168.177.81
288,UDP,Brute Force Login,Malicious,172.16.143.230,192.168.214.101
413,UDP,Heartbeat Packet,Malicious,172.16.69.131,192.168.251.180
1209,UDP,SQL Injection,Malicious,172.16.134.34,192.168.45.109
1298,ICMP,Data Exfiltration,Normal,172.16.251.208,192.168.27.253
137,ICMP,File Transfer,Malicious,172.16.35.25,192.168.116.73
444,TCP,DDoS SYN Flood,Normal,172.16.236.4,192.168.157.186
723,UDP,DDoS SYN Flood,Malicious,172.16.63.149,192.168.124.239
1208,UDP,API Request,Malicious,172.16.115.52,192.168.126.150
545,ICMP,User Login,Normal,172.16.3.136,192.168.198.134
732,UDP,File Transfer,Normal,172.16.44.13,192.168.176.3
1474,ICMP,Suspicious Payload,Normal,172.16.150.4,192.168.32.126
73,ICMP,VPN Tunnel,Malicious,172.16.165.23,192.168.94.110
943,TCP,API Request,Normal,172.16.229.156,192.168.87.225
1171,UDP,Database Query,Normal,172.16.182.249,192.168.106.120
138,ICMP,Cloud Sync,Malicious,172.16.98.101,192.168.152.58
1102,ICMP,Port Scan,Malicious,172.16.245.34,192.168.1.163
1487,ICMP,SQL Injection,Normal,172.16.231.148,192.168.183.9
314,UDP,DNS Query,Normal,172.16.60.25,192.168.197.12
1371,ICMP,VPN Tunnel,Malicious,172.16.13.169,192.168.223.181
1381,TCP,Heartbeat Packet,Malicious,172.16.29.216,192.168.91.191
496,UDP,User Login,Normal,172.16.181.64,192.168.125.68
842,ICMP,Botnet Traffic,Malicious,172.16.59.60,192.168.158.215
