Packet_Size,Protocol_Type,Info,Traffic_Type,Source_IP,Destination_IP
900,UDP,Web Request,Malicious,172.16.115.231,192.168.65.187
804,ICMP,Brute Force Login,Malicious,172.16.208.145,192.168.177.229
1445,ICMP,Heartbeat Packet,Normal,172.16.246.6,192.168.18.213
1092,TCP,File Transfer,Malicious,172.16.61.38,192.168.251.214
1226,ICMP,Brute Force Login,Normal,172.16.67.139,192.168.71.183
970,ICMP,Cloud Sync,Normal,172.16.197.94,192.168.133.230
393,ICMP,ARP Spoofing,Malicious,172.16.227.131,192.168.195.160
723,ICMP,Port Scan,Normal,172.16.64.154,192.168.159.16
364,ICMP,Suspicious Payload,Normal,172.16.241.206,192.168.227.35
321,ICMP,API Request,Normal,172.16.30.69,192.168.127.81
1110,TCP,VPN Tunnel,Malicious,172.16.249.188,192.168.224.210
703,UDP,API Request,Normal,172.16.87.111,192.168.39.187
201,TCP,Malware Command,Malicious,172.16.50.239,192.168.6.193
1318,TCP,Data Exfiltration,Malicious,172.16.119.24,192.168.213.137
329,ICMP,SQL Injection,Malicious,172.16.167.192,192.168.26.73
595,ICMP,Email Transmission,Malicious,172.16.75.227,192.168.188.183
1491,TCP,DDoS SYN Flood,Normal,172.16.107.156,192.168.124.222
347,UDP,ARP Spoofing,Normal,172.16.100.202,192.168.27.195
990,ICMP,File Transfer,Normal,172.16.184.130,192.168.237.35
406,TCP,Malware Command,Malicious,172.16.149.191,192.168.189.170
1201,UDP,File Transfer,Normal,172.16.254.69,192.168.170.205
923,TCP,Email Transmission,Malicious,172.16.130.116,192.168.121.115
1006,UDP,Heartbeat Packet,Malicious,172.16.72.153,192.168.25.207
174,UDP,DDoS SYN Flood,Malicious,172.16.137.61,192.168.66.136
410,UDP,Suspicious Payload,Normal,172.16.80.50,192.168.147.142
814,UDP,DNS Query,Malicious,172.16.179.26,192.168.130.171
791,TCP,Web Request,Malicious,172.16.176.194,192.168.58.162
241,TCP,SQL Injection,Normal,172.16.121.96,192.168.140.52
1404,ICMP,Cloud Sync,Normal,172.16.184.141,192.168.216.55
392,UDP,Email Transmission,Malicious,172.16.231.63,192.168.50.240
838,UDP,Database Query,Normal,172.16.88.156,192.168.87.240
1487,TCP,Heartbeat Packet,Malicious,172.16.54.244,192.168.179.88
895,UDP,Heartbeat Packet,Malicious,172.16.48.89,192.168.235.249
1149,TCP,Email Transmission,Malicious,172.16.104.201,192.168.163.196
139,UDP,ARP Spoofing,Normal,172.16.156.195,192.168.116.111
606,ICMP,User Login,Malicious,172.16.53.122,192.168.239.114
748,TCP,Heartbeat Packet,Malicious,172.16.174.193,192.168.32.71
1244,UDP,ARP Spoofing,Normal,172.16.206.93,192.168.92.26
1032,ICMP,Unauthorized Access,Malicious,172.16.80.90,192.168.186.129
1250,UDP,Data Exfiltration,Normal,172.16.5.113,192.168.44.195
218,UDP,Unauthorized Access,Normal,172.16.33.57,192.168.55.101
630,UDP,DDoS SYN Flood,Malicious,172.16.177.91,192.168.69.136
965,ICMP,API Request,Normal,172.16.148.219,192.168.169.83
352,ICMP,DDoS SYN Flood,Malicious,172.16.182.84,192.168.247.64
79,UDP,ARP Spoofing,Malicious,172.16.225.84,192.168.40.210
1167,TCP,Brute Force Login,Normal,172.16.21.213,192.168.48.53
158,UDP,Malware Command,Malicious,172.16.244.159,192.168.48.173
993,ICMP,Malware Command,Malicious,172.16.175.198,192.168.229.152
228,ICMP,Malware Command,Normal,172.16.165.93,192.168.10.94
511,UDP,API Request,Normal,172.16.159.231,192.168.102.102
338,ICMP,User Login,Normal,172.16.144.99,192.168.136.15
516,TCP,Brute Force Login,Normal,172.16.82.253,192.168.162.39
570,ICMP,Port Scan,Malicious,172.16.144.33,192.168.123.196
481,UDP,Email Transmission,Malicious,172.16.80.161,192.168.180.56
1245,ICMP,VPN Tunnel,Normal,172.16.41.159,192.168.253.62
153,TCP,Email Transmission,Normal,172.16.16.74,192.168.62.207
91,ICMP,File Transfer,Normal,172.16.195.216,192.168.46.158
