Packet_Size,Protocol_Type,Threat_Type,Risk_Level,Source_IP,Destination_IP,Label
1386,UDP,Unauthorized Access,High,192.168.100.12,10.0.50.96,Malicious
1473,TCP,Port Scan,High,192.168.100.181,10.0.50.185,Malicious
721,UDP,ARP Spoofing,High,192.168.100.171,10.0.50.9,Malicious
1463,ICMP,Botnet Traffic,Critical,192.168.100.62,10.0.50.174,Malicious
924,UDP,SQL Injection,Critical,192.168.100.227,10.0.50.151,Malicious
1329,UDP,ARP Spoofing,High,192.168.100.52,10.0.50.209,Malicious
1036,TCP,Suspicious Payload,High,192.168.100.84,10.0.50.105,Malicious
1285,UDP,ARP Spoofing,Critical,192.168.100.233,10.0.50.24,Malicious
879,TCP,SQL Injection,Critical,192.168.100.19,10.0.50.147,Malicious
1330,TCP,Botnet Traffic,High,192.168.100.223,10.0.50.222,Malicious
668,TCP,ARP Spoofing,High,192.168.100.159,10.0.50.22,Malicious
233,TCP,Port Scan,Critical,192.168.100.28,10.0.50.100,Malicious
1196,TCP,SQL Injection,High,192.168.100.117,10.0.50.75,Malicious
1178,UDP,Botnet Traffic,Critical,192.168.100.42,10.0.50.172,Malicious
405,ICMP,Brute Force Login,High,192.168.100.252,10.0.50.246,Malicious
1118,ICMP,Port Scan,High,192.168.100.89,10.0.50.169,Malicious
760,TCP,Port Scan,Critical,192.168.100.252,10.0.50.104,Malicious
378,UDP,Brute Force Login,Critical,192.168.100.165,10.0.50.40,Malicious
586,ICMP,Port Scan,High,192.168.100.57,10.0.50.213,Malicious
871,TCP,Unauthorized Access,High,192.168.100.141,10.0.50.13,Malicious
556,ICMP,Suspicious Payload,High,192.168.100.57,10.0.50.246,Malicious
334,TCP,Botnet Traffic,Critical,192.168.100.111,10.0.50.65,Malicious
578,ICMP,Brute Force Login,Critical,192.168.100.171,10.0.50.87,Malicious
1085,ICMP,DDoS SYN Flood,Critical,192.168.100.19,10.0.50.219,Malicious
442,ICMP,Unauthorized Access,High,192.168.100.172,10.0.50.205,Malicious
246,UDP,DDoS SYN Flood,High,192.168.100.118,10.0.50.28,Malicious
1230,UDP,Malware Command,Critical,192.168.100.53,10.0.50.50,Malicious
1357,TCP,DDoS SYN Flood,High,192.168.100.87,10.0.50.178,Malicious
487,ICMP,Unauthorized Access,Critical,192.168.100.109,10.0.50.176,Malicious
352,TCP,Malware Command,High,192.168.100.147,10.0.50.217,Malicious
727,ICMP,DDoS SYN Flood,Critical,192.168.100.49,10.0.50.53,Malicious
950,ICMP,Unauthorized Access,High,192.168.100.189,10.0.50.65,Malicious
1317,UDP,Unauthorized Access,High,192.168.100.219,10.0.50.54,Malicious
1000,UDP,ARP Spoofing,Critical,192.168.100.61,10.0.50.42,Malicious
334,ICMP,Malware Command,Critical,192.168.100.59,10.0.50.94,Malicious
933,TCP,Data Exfiltration,High,192.168.100.158,10.0.50.100,Malicious
301,ICMP,Suspicious Payload,High,192.168.100.50,10.0.50.215,Malicious
536,ICMP,Botnet Traffic,Critical,192.168.100.246,10.0.50.226,Malicious
1050,TCP,Port Scan,High,192.168.100.94,10.0.50.110,Malicious
1254,UDP,SQL Injection,High,192.168.100.47,10.0.50.91,Malicious
835,ICMP,SQL Injection,Critical,192.168.100.152,10.0.50.238,Malicious
953,TCP,DDoS SYN Flood,Critical,192.168.100.75,10.0.50.216,Malicious
1015,ICMP,ARP Spoofing,High,192.168.100.238,10.0.50.199,Malicious
505,UDP,Data Exfiltration,High,192.168.100.54,10.0.50.222,Malicious
426,UDP,DDoS SYN Flood,High,192.168.100.250,10.0.50.128,Malicious
1084,ICMP,Suspicious Payload,High,192.168.100.79,10.0.50.252,Malicious
1023,ICMP,Port Scan,Critical,192.168.100.23,10.0.50.138,Malicious
1330,TCP,Data Exfiltration,Critical,192.168.100.94,10.0.50.227,Malicious
923,TCP,Brute Force Login,Critical,192.168.100.37,10.0.50.108,Malicious
293,TCP,Data Exfiltration,High,192.168.100.104,10.0.50.77,Malicious
793,TCP,Unauthorized Access,Critical,192.168.100.20,10.0.50.247,Malicious
1006,TCP,Port Scan,Critical,192.168.100.34,10.0.50.4,Malicious
1051,ICMP,Botnet Traffic,Critical,192.168.100.164,10.0.50.90,Malicious
235,UDP,Botnet Traffic,High,192.168.100.238,10.0.50.108,Malicious
313,UDP,Unauthorized Access,High,192.168.100.134,10.0.50.82,Malicious
