Packet_Size,Protocol_Type,Threat_Type,Risk_Level,Source_IP,Destination_IP,Label
1368,ICMP,Malware Command,High,192.168.100.177,10.0.50.39,Malicious
459,UDP,Unauthorized Access,High,192.168.100.26,10.0.50.241,Malicious
1270,TCP,Malware Command,Critical,192.168.100.235,10.0.50.191,Malicious
1452,ICMP,Port Scan,Critical,192.168.100.5,10.0.50.152,Malicious
1049,UDP,Brute Force Login,High,192.168.100.8,10.0.50.54,Malicious
996,TCP,ARP Spoofing,Critical,192.168.100.172,10.0.50.176,Malicious
1370,UDP,Port Scan,Critical,192.168.100.67,10.0.50.37,Malicious
1000,UDP,Malware Command,High,192.168.100.127,10.0.50.29,Malicious
1471,UDP,Suspicious Payload,High,192.168.100.74,10.0.50.118,Malicious
934,TCP,Port Scan,High,192.168.100.34,10.0.50.132,Malicious
229,TCP,Unauthorized Access,Critical,192.168.100.223,10.0.50.112,Malicious
301,ICMP,Unauthorized Access,Critical,192.168.100.82,10.0.50.198,Malicious
877,TCP,Data Exfiltration,High,192.168.100.7,10.0.50.237,Malicious
1142,UDP,Botnet Traffic,High,192.168.100.249,10.0.50.112,Malicious
712,UDP,Malware Command,Critical,192.168.100.65,10.0.50.45,Malicious
1319,UDP,Malware Command,Critical,192.168.100.225,10.0.50.94,Malicious
1175,TCP,Data Exfiltration,Critical,192.168.100.16,10.0.50.119,Malicious
1003,TCP,SQL Injection,Critical,192.168.100.69,10.0.50.186,Malicious
910,TCP,ARP Spoofing,Critical,192.168.100.199,10.0.50.217,Malicious
1118,TCP,Suspicious Payload,Critical,192.168.100.179,10.0.50.84,Malicious
1413,TCP,SQL Injection,Critical,192.168.100.181,10.0.50.244,Malicious
1337,TCP,DDoS SYN Flood,High,192.168.100.21,10.0.50.55,Malicious
393,UDP,Data Exfiltration,Critical,192.168.100.174,10.0.50.206,Malicious
746,TCP,DDoS SYN Flood,Critical,192.168.100.75,10.0.50.181,Malicious
1050,TCP,Unauthorized Access,High,192.168.100.99,10.0.50.63,Malicious
1405,TCP,Unauthorized Access,High,192.168.100.98,10.0.50.225,Malicious
1086,ICMP,Data Exfiltration,Critical,192.168.100.166,10.0.50.98,Malicious
720,TCP,Brute Force Login,Critical,192.168.100.104,10.0.50.185,Malicious
475,ICMP,SQL Injection,High,192.168.100.58,10.0.50.186,Malicious
556,ICMP,Data Exfiltration,High,192.168.100.216,10.0.50.249,Malicious
590,UDP,Malware Command,High,192.168.100.117,10.0.50.104,Malicious
622,ICMP,Unauthorized Access,High,192.168.100.69,10.0.50.167,Malicious
1071,TCP,Malware Command,High,192.168.100.167,10.0.50.64,Malicious
216,UDP,Brute Force Login,Critical,192.168.100.151,10.0.50.131,Malicious
1134,UDP,Suspicious Payload,High,192.168.100.1,10.0.50.135,Malicious
350,UDP,Brute Force Login,High,192.168.100.74,10.0.50.91,Malicious
1419,UDP,Botnet Traffic,Critical,192.168.100.250,10.0.50.43,Malicious
1462,UDP,Botnet Traffic,Critical,192.168.100.232,10.0.50.25,Malicious
435,TCP,ARP Spoofing,High,192.168.100.78,10.0.50.158,Malicious
1250,TCP,Malware Command,Critical,192.168.100.76,10.0.50.42,Malicious
504,TCP,Suspicious Payload,High,192.168.100.111,10.0.50.212,Malicious
250,ICMP,Data Exfiltration,High,192.168.100.74,10.0.50.198,Malicious
365,ICMP,Port Scan,Critical,192.168.100.96,10.0.50.151,Malicious
467,ICMP,Malware Command,Critical,192.168.100.132,10.0.50.219,Malicious
683,UDP,Data Exfiltration,Critical,192.168.100.57,10.0.50.32,Malicious
527,TCP,Suspicious Payload,Critical,192.168.100.94,10.0.50.59,Malicious
1231,UDP,Suspicious Payload,Critical,192.168.100.143,10.0.50.64,Malicious
265,TCP,SQL Injection,Critical,192.168.100.80,10.0.50.84,Malicious
289,TCP,Data Exfiltration,Critical,192.168.100.129,10.0.50.107,Malicious
542,ICMP,Brute Force Login,Critical,192.168.100.217,10.0.50.74,Malicious
773,TCP,Botnet Traffic,High,192.168.100.225,10.0.50.63,Malicious
340,ICMP,Unauthorized Access,Critical,192.168.100.218,10.0.50.31,Malicious
791,ICMP,DDoS SYN Flood,High,192.168.100.23,10.0.50.3,Malicious
991,ICMP,Brute Force Login,High,192.168.100.107,10.0.50.40,Malicious
295,TCP,ARP Spoofing,High,192.168.100.222,10.0.50.81,Malicious
429,TCP,Unauthorized Access,Critical,192.168.100.199,10.0.50.114,Malicious
848,UDP,Brute Force Login,High,192.168.100.146,10.0.50.193,Malicious
871,UDP,Data Exfiltration,Critical,192.168.100.69,10.0.50.235,Malicious
332,UDP,DDoS SYN Flood,High,192.168.100.205,10.0.50.240,Malicious
798,TCP,Suspicious Payload,Critical,192.168.100.211,10.0.50.42,Malicious
386,ICMP,Port Scan,High,192.168.100.243,10.0.50.231,Malicious
652,TCP,Malware Command,Critical,192.168.100.52,10.0.50.219,Malicious
843,TCP,ARP Spoofing,Critical,192.168.100.238,10.0.50.232,Malicious
1025,UDP,Brute Force Login,High,192.168.100.149,10.0.50.42,Malicious
1338,TCP,DDoS SYN Flood,Critical,192.168.100.101,10.0.50.78,Malicious
676,UDP,Malware Command,Critical,192.168.100.215,10.0.50.193,Malicious
1462,TCP,Data Exfiltration,Critical,192.168.100.12,10.0.50.155,Malicious
1141,ICMP,Botnet Traffic,High,192.168.100.86,10.0.50.12,Malicious
1190,ICMP,Botnet Traffic,High,192.168.100.201,10.0.50.44,Malicious
270,ICMP,SQL Injection,Critical,192.168.100.204,10.0.50.168,Malicious
952,UDP,SQL Injection,High,192.168.100.67,10.0.50.233,Malicious
918,ICMP,Malware Command,High,192.168.100.30,10.0.50.87,Malicious
216,ICMP,Data Exfiltration,Critical,192.168.100.49,10.0.50.121,Malicious
646,ICMP,Data Exfiltration,Critical,192.168.100.240,10.0.50.149,Malicious
894,UDP,Data Exfiltration,Critical,192.168.100.41,10.0.50.97,Malicious
1295,UDP,ARP Spoofing,High,192.168.100.13,10.0.50.7,Malicious
728,UDP,Botnet Traffic,High,192.168.100.247,10.0.50.202,Malicious
956,TCP,Brute Force Login,Critical,192.168.100.167,10.0.50.105,Malicious
278,ICMP,ARP Spoofing,Critical,192.168.100.16,10.0.50.245,Malicious
478,TCP,Brute Force Login,Critical,192.168.100.140,10.0.50.165,Malicious
964,TCP,DDoS SYN Flood,High,192.168.100.80,10.0.50.212,Malicious
