Packet_Size,Protocol_Type,Info,Traffic_Type,Source_IP,Destination_IP
1034,TCP,Database Query,Malicious,172.16.210.214,192.168.225.20
674,ICMP,Malware Command,Normal,172.16.115.104,192.168.23.187
130,TCP,Unauthorized Access,Malicious,172.16.31.42,192.168.72.191
554,ICMP,Suspicious Payload,Normal,172.16.250.90,192.168.243.135
839,ICMP,ARP Spoofing,Malicious,172.16.97.50,192.168.143.212
1279,TCP,API Request,Malicious,172.16.230.72,192.168.62.222
525,ICMP,DNS Query,Normal,172.16.237.80,192.168.40.60
1137,UDP,Suspicious Payload,Normal,172.16.99.16,192.168.210.129
892,ICMP,Unauthorized Access,Malicious,172.16.113.40,192.168.111.228
331,ICMP,Data Exfiltration,Malicious,172.16.84.90,192.168.16.113
200,UDP,Data Exfiltration,Normal,172.16.20.154,192.168.246.101
1455,UDP,Malware Command,Malicious,172.16.129.253,192.168.120.177
1134,TCP,DNS Query,Malicious,172.16.36.216,192.168.117.1
711,UDP,File Transfer,Normal,172.16.13.138,192.168.127.133
923,UDP,Heartbeat Packet,Malicious,172.16.108.242,192.168.154.66
1222,TCP,Heartbeat Packet,Malicious,172.16.85.149,192.168.253.147
210,TCP,SQL Injection,Normal,172.16.180.94,192.168.49.159
605,ICMP,Malware Command,Normal,172.16.127.56,192.168.4.181
1438,UDP,Botnet Traffic,Normal,172.16.228.217,192.168.90.178
583,UDP,SQL Injection,Malicious,172.16.238.210,192.168.91.3
466,ICMP,ARP Spoofing,Malicious,172.16.100.10,192.168.78.249
231,UDP,ARP Spoofing,Malicious,172.16.38.91,192.168.125.37
304,UDP,Web Request,Normal,172.16.197.102,192.168.105.172
385,TCP,Botnet Traffic,Normal,172.16.253.164,192.168.124.34
444,ICMP,Suspicious Payload,Normal,172.16.96.42,192.168.88.135
1105,TCP,Brute Force Login,Normal,172.16.46.88,192.168.135.37
450,UDP,Database Query,Normal,172.16.194.101,192.168.166.181
132,TCP,Email Transmission,Malicious,172.16.226.127,192.168.117.175
673,TCP,DNS Query,Malicious,172.16.195.86,192.168.86.254
696,TCP,Unauthorized Access,Normal,172.16.218.250,192.168.153.52
334,TCP,Web Request,Malicious,172.16.16.38,192.168.247.247
1181,UDP,DDoS SYN Flood,Normal,172.16.219.8,192.168.167.25
870,UDP,DNS Query,Normal,172.16.65.133,192.168.223.20
80,TCP,Port Scan,Malicious,172.16.161.145,192.168.20.127
688,UDP,Email Transmission,Malicious,172.16.22.26,192.168.156.150
192,UDP,Unauthorized Access,Malicious,172.16.99.107,192.168.93.108
1249,UDP,DNS Query,Normal,172.16.149.144,192.168.120.160
111,UDP,Heartbeat Packet,Malicious,172.16.166.121,192.168.154.2
1405,UDP,Data Exfiltration,Malicious,172.16.89.4,192.168.238.230
154,ICMP,SQL Injection,Malicious,172.16.50.71,192.168.109.7
818,UDP,Email Transmission,Normal,172.16.206.136,192.168.200.165
167,UDP,API Request,Malicious,172.16.56.89,192.168.195.134
133,UDP,User Login,Normal,172.16.245.180,192.168.225.57
876,TCP,Email Transmission,Malicious,172.16.134.220,192.168.231.93
108,UDP,File Transfer,Normal,172.16.65.96,192.168.52.60
1415,ICMP,DNS Query,Malicious,172.16.161.21,192.168.242.158
376,UDP,API Request,Malicious,172.16.151.227,192.168.70.210
1157,TCP,Heartbeat Packet,Malicious,172.16.205.244,192.168.160.226
