Packet_Size,Protocol_Type,Threat_Type,Risk_Level,Source_IP,Destination_IP,Label
1340,UDP,Suspicious Payload,High,192.168.100.156,10.0.50.13,Malicious
1138,ICMP,Malware Command,High,192.168.100.50,10.0.50.38,Malicious
1118,UDP,Botnet Traffic,Critical,192.168.100.188,10.0.50.105,Malicious
621,TCP,DDoS SYN Flood,Critical,192.168.100.76,10.0.50.8,Malicious
362,UDP,Suspicious Payload,Critical,192.168.100.103,10.0.50.177,Malicious
837,ICMP,Port Scan,High,192.168.100.50,10.0.50.112,Malicious
566,TCP,Botnet Traffic,Critical,192.168.100.87,10.0.50.38,Malicious
417,UDP,Data Exfiltration,Critical,192.168.100.228,10.0.50.169,Malicious
1488,TCP,Brute Force Login,High,192.168.100.220,10.0.50.172,Malicious
805,ICMP,ARP Spoofing,High,192.168.100.208,10.0.50.37,Malicious
454,TCP,Brute Force Login,High,192.168.100.177,10.0.50.40,Malicious
629,UDP,Suspicious Payload,Critical,192.168.100.219,10.0.50.251,Malicious
1121,TCP,Botnet Traffic,Critical,192.168.100.86,10.0.50.64,Malicious
783,TCP,ARP Spoofing,High,192.168.100.238,10.0.50.189,Malicious
221,UDP,ARP Spoofing,High,192.168.100.254,10.0.50.214,Malicious
1227,ICMP,Unauthorized Access,High,192.168.100.63,10.0.50.184,Malicious
497,UDP,Data Exfiltration,High,192.168.100.79,10.0.50.7,Malicious
364,TCP,Malware Command,Critical,192.168.100.37,10.0.50.147,Malicious
721,UDP,Botnet Traffic,High,192.168.100.251,10.0.50.65,Malicious
221,ICMP,Botnet Traffic,High,192.168.100.131,10.0.50.58,Malicious
1341,UDP,Brute Force Login,High,192.168.100.77,10.0.50.58,Malicious
212,ICMP,Port Scan,Critical,192.168.100.115,10.0.50.73,Malicious
773,TCP,Data Exfiltration,Critical,192.168.100.180,10.0.50.17,Malicious
1314,ICMP,Brute Force Login,High,192.168.100.186,10.0.50.42,Malicious
1448,UDP,Suspicious Payload,Critical,192.168.100.202,10.0.50.198,Malicious
1230,ICMP,ARP Spoofing,Critical,192.168.100.244,10.0.50.64,Malicious
1281,UDP,Brute Force Login,High,192.168.100.3,10.0.50.141,Malicious
404,TCP,DDoS SYN Flood,Critical,192.168.100.43,10.0.50.113,Malicious
1356,TCP,Brute Force Login,High,192.168.100.39,10.0.50.45,Malicious
1252,UDP,Port Scan,High,192.168.100.197,10.0.50.154,Malicious
634,TCP,SQL Injection,High,192.168.100.166,10.0.50.125,Malicious
1439,ICMP,DDoS SYN Flood,High,192.168.100.80,10.0.50.150,Malicious
800,TCP,Unauthorized Access,High,192.168.100.23,10.0.50.121,Malicious
754,UDP,SQL Injection,High,192.168.100.11,10.0.50.134,Malicious
660,UDP,Unauthorized Access,High,192.168.100.120,10.0.50.143,Malicious
527,TCP,Brute Force Login,Critical,192.168.100.81,10.0.50.117,Malicious
966,TCP,ARP Spoofing,Critical,192.168.100.147,10.0.50.3,Malicious
1387,TCP,Data Exfiltration,Critical,192.168.100.41,10.0.50.53,Malicious
1199,TCP,Brute Force Login,High,192.168.100.45,10.0.50.95,Malicious
1402,ICMP,Data Exfiltration,Critical,192.168.100.207,10.0.50.189,Malicious
1335,UDP,ARP Spoofing,High,192.168.100.51,10.0.50.190,Malicious
1208,ICMP,Unauthorized Access,High,192.168.100.104,10.0.50.216,Malicious
1223,ICMP,DDoS SYN Flood,Critical,192.168.100.205,10.0.50.245,Malicious
1417,TCP,SQL Injection,High,192.168.100.218,10.0.50.79,Malicious
831,UDP,Data Exfiltration,High,192.168.100.240,10.0.50.251,Malicious
411,ICMP,Data Exfiltration,High,192.168.100.29,10.0.50.108,Malicious
415,UDP,Suspicious Payload,Critical,192.168.100.62,10.0.50.96,Malicious
1141,TCP,Data Exfiltration,Critical,192.168.100.84,10.0.50.151,Malicious
1104,ICMP,Brute Force Login,High,192.168.100.234,10.0.50.128,Malicious
390,ICMP,Data Exfiltration,Critical,192.168.100.22,10.0.50.108,Malicious
491,UDP,Port Scan,Critical,192.168.100.27,10.0.50.13,Malicious
1108,TCP,Brute Force Login,Critical,192.168.100.39,10.0.50.65,Malicious
949,UDP,SQL Injection,Critical,192.168.100.80,10.0.50.147,Malicious
1340,UDP,Port Scan,High,192.168.100.217,10.0.50.206,Malicious
