Packet_Size,Protocol_Type,Threat_Type,Risk_Level,Source_IP,Destination_IP,Label
705,UDP,Suspicious Payload,High,192.168.100.82,10.0.50.162,Malicious
496,ICMP,SQL Injection,High,192.168.100.9,10.0.50.199,Malicious
765,TCP,Data Exfiltration,High,192.168.100.41,10.0.50.116,Malicious
790,UDP,Malware Command,Critical,192.168.100.221,10.0.50.248,Malicious
1118,UDP,Suspicious Payload,Critical,192.168.100.114,10.0.50.11,Malicious
469,ICMP,Port Scan,Critical,192.168.100.146,10.0.50.245,Malicious
1000,UDP,Brute Force Login,High,192.168.100.206,10.0.50.215,Malicious
1486,TCP,ARP Spoofing,High,192.168.100.209,10.0.50.106,Malicious
1340,ICMP,Brute Force Login,High,192.168.100.252,10.0.50.126,Malicious
642,TCP,Malware Command,High,192.168.100.23,10.0.50.215,Malicious
351,TCP,DDoS SYN Flood,High,192.168.100.142,10.0.50.210,Malicious
1011,UDP,Brute Force Login,High,192.168.100.176,10.0.50.37,Malicious
956,TCP,DDoS SYN Flood,High,192.168.100.218,10.0.50.228,Malicious
938,ICMP,Brute Force Login,High,192.168.100.191,10.0.50.156,Malicious
201,ICMP,Botnet Traffic,High,192.168.100.199,10.0.50.237,Malicious
1126,UDP,Unauthorized Access,High,192.168.100.190,10.0.50.106,Malicious
903,ICMP,ARP Spoofing,Critical,192.168.100.137,10.0.50.45,Malicious
1033,TCP,Data Exfiltration,High,192.168.100.246,10.0.50.240,Malicious
522,UDP,ARP Spoofing,High,192.168.100.178,10.0.50.201,Malicious
934,ICMP,Data Exfiltration,Critical,192.168.100.230,10.0.50.14,Malicious
457,TCP,ARP Spoofing,High,192.168.100.52,10.0.50.194,Malicious
1215,UDP,Data Exfiltration,High,192.168.100.37,10.0.50.182,Malicious
1026,ICMP,Suspicious Payload,High,192.168.100.196,10.0.50.210,Malicious
1103,ICMP,Data Exfiltration,Critical,192.168.100.149,10.0.50.194,Malicious
1089,TCP,DDoS SYN Flood,Critical,192.168.100.131,10.0.50.152,Malicious
938,TCP,Brute Force Login,High,192.168.100.16,10.0.50.205,Malicious
851,TCP,Suspicious Payload,High,192.168.100.188,10.0.50.80,Malicious
419,TCP,DDoS SYN Flood,High,192.168.100.145,10.0.50.109,Malicious
1252,UDP,ARP Spoofing,High,192.168.100.250,10.0.50.171,Malicious
1266,TCP,Brute Force Login,High,192.168.100.34,10.0.50.74,Malicious
1282,UDP,ARP Spoofing,High,192.168.100.129,10.0.50.5,Malicious
1159,ICMP,Unauthorized Access,High,192.168.100.166,10.0.50.182,Malicious
353,TCP,Botnet Traffic,High,192.168.100.241,10.0.50.195,Malicious
1319,TCP,Brute Force Login,Critical,192.168.100.153,10.0.50.66,Malicious
421,TCP,Port Scan,Critical,192.168.100.123,10.0.50.126,Malicious
403,UDP,Suspicious Payload,High,192.168.100.173,10.0.50.110,Malicious
1391,ICMP,Botnet Traffic,High,192.168.100.246,10.0.50.250,Malicious
815,ICMP,Botnet Traffic,High,192.168.100.166,10.0.50.163,Malicious
513,UDP,ARP Spoofing,High,192.168.100.227,10.0.50.3,Malicious
651,TCP,Suspicious Payload,Critical,192.168.100.18,10.0.50.227,Malicious
564,TCP,ARP Spoofing,Critical,192.168.100.117,10.0.50.214,Malicious
1275,UDP,SQL Injection,High,192.168.100.150,10.0.50.162,Malicious
1277,TCP,SQL Injection,High,192.168.100.249,10.0.50.139,Malicious
1012,TCP,Malware Command,High,192.168.100.75,10.0.50.55,Malicious
932,ICMP,ARP Spoofing,Critical,192.168.100.47,10.0.50.34,Malicious
843,ICMP,Botnet Traffic,High,192.168.100.171,10.0.50.19,Malicious
475,UDP,ARP Spoofing,High,192.168.100.120,10.0.50.99,Malicious
671,TCP,ARP Spoofing,High,192.168.100.148,10.0.50.98,Malicious
462,UDP,Brute Force Login,High,192.168.100.76,10.0.50.126,Malicious
1214,UDP,Malware Command,High,192.168.100.196,10.0.50.56,Malicious
1293,ICMP,Botnet Traffic,Critical,192.168.100.80,10.0.50.150,Malicious
490,UDP,Botnet Traffic,High,192.168.100.50,10.0.50.236,Malicious
419,UDP,ARP Spoofing,High,192.168.100.222,10.0.50.3,Malicious
