Packet_Size,Protocol_Type,Threat_Type,Risk_Level,Source_IP,Destination_IP,Label
821,UDP,Data Exfiltration,High,192.168.100.111,10.0.50.237,Malicious
812,UDP,Data Exfiltration,Critical,192.168.100.92,10.0.50.243,Malicious
667,ICMP,SQL Injection,High,192.168.100.219,10.0.50.133,Malicious
974,ICMP,Unauthorized Access,Critical,192.168.100.167,10.0.50.12,Malicious
600,ICMP,Malware Command,Critical,192.168.100.19,10.0.50.67,Malicious
893,UDP,DDoS SYN Flood,High,192.168.100.38,10.0.50.231,Malicious
681,UDP,Botnet Traffic,High,192.168.100.174,10.0.50.137,Malicious
951,TCP,Suspicious Payload,High,192.168.100.201,10.0.50.2,Malicious
1206,UDP,Data Exfiltration,High,192.168.100.86,10.0.50.33,Malicious
1410,TCP,Brute Force Login,High,192.168.100.244,10.0.50.227,Malicious
598,ICMP,Data Exfiltration,High,192.168.100.118,10.0.50.42,Malicious
1357,UDP,SQL Injection,High,192.168.100.28,10.0.50.244,Malicious
1391,UDP,SQL Injection,High,192.168.100.252,10.0.50.9,Malicious
684,ICMP,Brute Force Login,High,192.168.100.8,10.0.50.183,Malicious
1153,UDP,Data Exfiltration,Critical,192.168.100.209,10.0.50.173,Malicious
908,ICMP,Port Scan,Critical,192.168.100.237,10.0.50.233,Malicious
610,UDP,ARP Spoofing,Critical,192.168.100.5,10.0.50.43,Malicious
1403,TCP,DDoS SYN Flood,Critical,192.168.100.60,10.0.50.195,Malicious
1081,TCP,Botnet Traffic,High,192.168.100.51,10.0.50.160,Malicious
957,ICMP,Unauthorized Access,High,192.168.100.135,10.0.50.197,Malicious
1141,UDP,Suspicious Payload,High,192.168.100.82,10.0.50.50,Malicious
1004,ICMP,Botnet Traffic,Critical,192.168.100.167,10.0.50.173,Malicious
1389,TCP,Data Exfiltration,Critical,192.168.100.238,10.0.50.25,Malicious
999,UDP,Botnet Traffic,High,192.168.100.88,10.0.50.212,Malicious
208,TCP,Brute Force Login,Critical,192.168.100.171,10.0.50.176,Malicious
919,TCP,Brute Force Login,High,192.168.100.234,10.0.50.204,Malicious
909,ICMP,Suspicious Payload,Critical,192.168.100.149,10.0.50.25,Malicious
1185,TCP,Port Scan,High,192.168.100.175,10.0.50.79,Malicious
228,TCP,Port Scan,High,192.168.100.202,10.0.50.202,Malicious
1481,ICMP,Port Scan,Critical,192.168.100.212,10.0.50.163,Malicious
1300,ICMP,Suspicious Payload,High,192.168.100.22,10.0.50.49,Malicious
1458,UDP,Suspicious Payload,Critical,192.168.100.23,10.0.50.45,Malicious
645,ICMP,ARP Spoofing,Critical,192.168.100.96,10.0.50.139,Malicious
515,UDP,Port Scan,High,192.168.100.140,10.0.50.87,Malicious
741,ICMP,Data Exfiltration,Critical,192.168.100.245,10.0.50.72,Malicious
962,TCP,Malware Command,High,192.168.100.252,10.0.50.58,Malicious
952,UDP,Brute Force Login,High,192.168.100.239,10.0.50.123,Malicious
1170,TCP,DDoS SYN Flood,Critical,192.168.100.10,10.0.50.196,Malicious
