Packet_Size,Protocol_Type,Info,Traffic_Type,Source_IP,Destination_IP
446,TCP,VPN Tunnel,Malicious,172.16.203.101,192.168.79.190
424,UDP,VPN Tunnel,Malicious,172.16.178.239,192.168.102.112
359,UDP,ARP Spoofing,Normal,172.16.42.168,192.168.8.122
1126,ICMP,ARP Spoofing,Normal,172.16.244.129,192.168.62.136
943,UDP,DNS Query,Normal,172.16.176.162,192.168.77.213
1341,ICMP,Port Scan,Normal,172.16.182.218,192.168.124.205
243,TCP,Malware Command,Malicious,172.16.83.108,192.168.102.34
563,UDP,VPN Tunnel,Malicious,172.16.73.84,192.168.60.173
941,UDP,ARP Spoofing,Normal,172.16.126.207,192.168.99.156
686,TCP,API Request,Malicious,172.16.200.218,192.168.10.180
284,TCP,Email Transmission,Normal,172.16.96.114,192.168.220.151
225,ICMP,ARP Spoofing,Malicious,172.16.153.107,192.168.19.188
348,TCP,Port Scan,Malicious,172.16.189.232,192.168.81.144
1351,ICMP,Malware Command,Normal,172.16.236.110,192.168.228.203
352,UDP,Heartbeat Packet,Normal,172.16.97.123,192.168.142.68
571,ICMP,Unauthorized Access,Normal,172.16.102.216,192.168.209.82
355,UDP,API Request,Malicious,172.16.219.78,192.168.76.89
1167,ICMP,SQL Injection,Normal,172.16.175.196,192.168.115.37
652,UDP,DNS Query,Malicious,172.16.50.43,192.168.191.67
1133,TCP,Malware Command,Malicious,172.16.76.150,192.168.86.210
202,ICMP,Cloud Sync,Normal,172.16.185.31,192.168.195.123
1266,ICMP,Port Scan,Normal,172.16.147.203,192.168.84.46
630,TCP,ARP Spoofing,Malicious,172.16.1.252,192.168.147.151
706,TCP,DDoS SYN Flood,Normal,172.16.127.130,192.168.129.142
428,ICMP,Malware Command,Normal,172.16.197.16,192.168.15.237
592,TCP,Botnet Traffic,Normal,172.16.124.55,192.168.150.94
723,ICMP,SQL Injection,Normal,172.16.149.153,192.168.18.246
116,UDP,Web Request,Normal,172.16.80.23,192.168.135.53
782,UDP,Data Exfiltration,Normal,172.16.85.227,192.168.241.199
859,UDP,Suspicious Payload,Malicious,172.16.245.13,192.168.33.54
1463,UDP,VPN Tunnel,Normal,172.16.89.84,192.168.143.224
1486,UDP,Database Query,Normal,172.16.200.69,192.168.251.124
132,UDP,Unauthorized Access,Normal,172.16.217.34,192.168.111.74
829,TCP,SQL Injection,Malicious,172.16.83.45,192.168.10.49
603,ICMP,Malware Command,Malicious,172.16.29.179,192.168.19.14
94,ICMP,Email Transmission,Malicious,172.16.70.87,192.168.79.65
387,TCP,ARP Spoofing,Normal,172.16.42.30,192.168.168.202
1045,TCP,DDoS SYN Flood,Normal,172.16.187.149,192.168.140.150
1320,UDP,File Transfer,Malicious,172.16.60.138,192.168.211.161
952,TCP,Cloud Sync,Malicious,172.16.75.149,192.168.5.160
956,TCP,Database Query,Malicious,172.16.76.68,192.168.17.4
846,UDP,Cloud Sync,Normal,172.16.200.207,192.168.77.28
1247,UDP,Heartbeat Packet,Malicious,172.16.78.220,192.168.168.248
592,ICMP,Data Exfiltration,Normal,172.16.133.234,192.168.184.56
123,UDP,Botnet Traffic,Normal,172.16.70.57,192.168.72.130
478,UDP,Database Query,Malicious,172.16.84.128,192.168.129.23
255,UDP,Web Request,Malicious,172.16.94.158,192.168.134.192
1354,TCP,VPN Tunnel,Malicious,172.16.115.226,192.168.105.199
445,ICMP,Brute Force Login,Malicious,172.16.152.155,192.168.20.134
1012,UDP,Suspicious Payload,Normal,172.16.22.76,192.168.85.156
587,ICMP,Heartbeat Packet,Malicious,172.16.6.142,192.168.158.133
687,ICMP,Port Scan,Malicious,172.16.147.29,192.168.164.26
558,TCP,DDoS SYN Flood,Normal,172.16.140.93,192.168.58.245
1295,ICMP,Suspicious Payload,Malicious,172.16.147.156,192.168.103.52
577,ICMP,SQL Injection,Normal,172.16.175.141,192.168.37.32
487,TCP,Port Scan,Normal,172.16.253.36,192.168.166.249
1482,ICMP,Unauthorized Access,Normal,172.16.18.246,192.168.18.35
258,ICMP,Malware Command,Normal,172.16.128.34,192.168.111.179
573,UDP,Brute Force Login,Malicious,172.16.39.126,192.168.203.77
1430,TCP,File Transfer,Malicious,172.16.204.56,192.168.26.156
1379,UDP,DDoS SYN Flood,Malicious,172.16.250.176,192.168.236.43
841,UDP,Database Query,Normal,172.16.209.221,192.168.147.32
997,UDP,Malware Command,Normal,172.16.81.205,192.168.191.225
803,UDP,Web Request,Malicious,172.16.127.76,192.168.250.252
659,TCP,Suspicious Payload,Malicious,172.16.223.209,192.168.172.101
1317,ICMP,Unauthorized Access,Malicious,172.16.236.107,192.168.42.205
299,UDP,File Transfer,Malicious,172.16.211.120,192.168.3.131
258,ICMP,Botnet Traffic,Malicious,172.16.216.232,192.168.22.60
1447,TCP,File Transfer,Normal,172.16.185.226,192.168.245.131
496,ICMP,Email Transmission,Malicious,172.16.95.215,192.168.74.100
503,TCP,Heartbeat Packet,Normal,172.16.177.205,192.168.216.62
1210,TCP,Heartbeat Packet,Normal,172.16.114.50,192.168.195.203
1239,UDP,Heartbeat Packet,Normal,172.16.147.170,192.168.232.108
1009,UDP,Web Request,Normal,172.16.73.22,192.168.82.251
550,ICMP,DDoS SYN Flood,Normal,172.16.15.221,192.168.27.209
191,UDP,Web Request,Malicious,172.16.70.165,192.168.38.15
438,UDP,Brute Force Login,Malicious,172.16.174.130,192.168.56.54
106,ICMP,Cloud Sync,Malicious,172.16.13.171,192.168.162.6
957,UDP,VPN Tunnel,Normal,172.16.30.117,192.168.33.101
345,ICMP,VPN Tunnel,Normal,172.16.246.221,192.168.120.25
1138,UDP,API Request,Malicious,172.16.138.233,192.168.81.163
123,ICMP,Brute Force Login,Malicious,172.16.182.102,192.168.96.89
1403,TCP,Heartbeat Packet,Normal,172.16.65.11,192.168.173.143
95,UDP,Web Request,Normal,172.16.41.243,192.168.3.97
994,TCP,Unauthorized Access,Malicious,172.16.77.25,192.168.82.227
923,ICMP,Web Request,Malicious,172.16.144.7,192.168.128.45
804,UDP,Email Transmission,Normal,172.16.11.29,192.168.179.133
1314,ICMP,Heartbeat Packet,Malicious,172.16.171.44,192.168.147.29
667,UDP,Unauthorized Access,Normal,172.16.120.75,192.168.28.18
587,TCP,Port Scan,Malicious,172.16.167.57,192.168.10.12
178,TCP,Unauthorized Access,Malicious,172.16.94.216,192.168.111.137
643,UDP,Data Exfiltration,Malicious,172.16.1.19,192.168.31.10
1477,ICMP,User Login,Malicious,172.16.21.113,192.168.172.47
1192,ICMP,Botnet Traffic,Normal,172.16.232.171,192.168.94.243
510,UDP,DNS Query,Malicious,172.16.41.206,192.168.240.172
657,TCP,ARP Spoofing,Normal,172.16.87.9,192.168.70.189
1499,ICMP,Port Scan,Malicious,172.16.133.26,192.168.237.159
459,ICMP,Unauthorized Access,Malicious,172.16.173.143,192.168.201.26
164,ICMP,Port Scan,Malicious,172.16.119.190,192.168.222.116
1438,UDP,VPN Tunnel,Normal,172.16.98.220,192.168.36.164
959,UDP,VPN Tunnel,Malicious,172.16.224.98,192.168.208.192
567,ICMP,Brute Force Login,Normal,172.16.23.206,192.168.77.198
1416,UDP,Port Scan,Normal,172.16.34.3,192.168.81.223
1211,UDP,Unauthorized Access,Malicious,172.16.116.23,192.168.119.67
208,TCP,Cloud Sync,Normal,172.16.126.94,192.168.23.167
