Packet_Size,Protocol_Type,Info,Traffic_Type,Source_IP,Destination_IP
1485,ICMP,Database Query,Normal,172.16.85.135,192.168.129.197
931,ICMP,User Login,Malicious,172.16.73.26,192.168.230.66
1431,TCP,DNS Query,Normal,172.16.145.214,192.168.136.12
1386,UDP,Data Exfiltration,Malicious,172.16.212.68,192.168.3.20
391,ICMP,ARP Spoofing,Malicious,172.16.130.10,192.168.191.65
58,UDP,Malware Command,Normal,172.16.112.134,192.168.129.179
213,ICMP,Heartbeat Packet,Normal,172.16.117.230,192.168.201.122
787,ICMP,Data Exfiltration,Malicious,172.16.199.250,192.168.91.175
250,ICMP,DDoS SYN Flood,Malicious,172.16.134.160,192.168.194.226
555,TCP,Brute Force Login,Normal,172.16.177.207,192.168.222.82
1119,UDP,ARP Spoofing,Normal,172.16.128.247,192.168.78.194
561,TCP,Botnet Traffic,Malicious,172.16.143.182,192.168.4.241
1088,UDP,Database Query,Malicious,172.16.224.101,192.168.165.73
920,ICMP,Data Exfiltration,Normal,172.16.116.227,192.168.131.23
1083,TCP,Suspicious Payload,Normal,172.16.165.85,192.168.38.88
308,TCP,DDoS SYN Flood,Normal,172.16.57.28,192.168.100.200
158,TCP,DNS Query,Normal,172.16.225.251,192.168.49.66
1256,TCP,Web Request,Malicious,172.16.29.251,192.168.11.237
536,UDP,User Login,Malicious,172.16.147.176,192.168.50.15
719,ICMP,Database Query,Normal,172.16.168.68,192.168.19.146
1451,UDP,Botnet Traffic,Malicious,172.16.130.142,192.168.246.22
1334,TCP,Suspicious Payload,Normal,172.16.26.30,192.168.59.219
853,ICMP,Web Request,Normal,172.16.136.83,192.168.19.208
904,ICMP,Unauthorized Access,Normal,172.16.26.218,192.168.99.246
602,TCP,Malware Command,Normal,172.16.159.183,192.168.74.136
917,UDP,Database Query,Normal,172.16.131.146,192.168.174.99
1438,TCP,Database Query,Normal,172.16.127.22,192.168.168.160
687,TCP,DDoS SYN Flood,Normal,172.16.11.229,192.168.251.211
99,UDP,User Login,Malicious,172.16.90.133,192.168.251.49
1095,ICMP,Botnet Traffic,Normal,172.16.216.188,192.168.115.6
1119,ICMP,Database Query,Normal,172.16.87.10,192.168.247.148
1369,TCP,DDoS SYN Flood,Normal,172.16.145.186,192.168.68.245
937,UDP,API Request,Malicious,172.16.196.120,192.168.133.134
861,UDP,Port Scan,Normal,172.16.152.213,192.168.221.47
760,ICMP,Data Exfiltration,Normal,172.16.8.142,192.168.93.252
616,ICMP,Heartbeat Packet,Malicious,172.16.117.93,192.168.219.176
275,ICMP,Database Query,Malicious,172.16.243.33,192.168.175.207
622,UDP,Malware Command,Normal,172.16.104.114,192.168.68.200
963,UDP,Brute Force Login,Normal,172.16.110.91,192.168.117.181
779,ICMP,API Request,Malicious,172.16.14.163,192.168.246.72
201,TCP,Unauthorized Access,Normal,172.16.47.13,192.168.178.16
350,TCP,VPN Tunnel,Normal,172.16.115.217,192.168.208.2
944,TCP,VPN Tunnel,Normal,172.16.60.150,192.168.137.105
970,UDP,Botnet Traffic,Malicious,172.16.14.231,192.168.216.11
1264,ICMP,Data Exfiltration,Malicious,172.16.31.108,192.168.87.128
464,TCP,User Login,Malicious,172.16.44.7,192.168.161.132
437,UDP,Heartbeat Packet,Malicious,172.16.60.145,192.168.92.14
1176,ICMP,ARP Spoofing,Normal,172.16.251.65,192.168.112.212
