Packet_Size,Protocol_Type,Threat_Type,Risk_Level,Source_IP,Destination_IP,Label
993,TCP,DDoS SYN Flood,High,192.168.100.210,10.0.50.9,Malicious
1448,UDP,Botnet Traffic,Critical,192.168.100.252,10.0.50.84,Malicious
1247,UDP,Unauthorized Access,Critical,192.168.100.128,10.0.50.55,Malicious
925,ICMP,Port Scan,Critical,192.168.100.155,10.0.50.51,Malicious
1446,UDP,ARP Spoofing,High,192.168.100.113,10.0.50.13,Malicious
1086,TCP,Port Scan,High,192.168.100.47,10.0.50.59,Malicious
670,UDP,SQL Injection,High,192.168.100.170,10.0.50.59,Malicious
1428,ICMP,Unauthorized Access,Critical,192.168.100.186,10.0.50.159,Malicious
579,ICMP,Malware Command,Critical,192.168.100.237,10.0.50.184,Malicious
784,ICMP,Brute Force Login,High,192.168.100.122,10.0.50.64,Malicious
1306,UDP,Brute Force Login,Critical,192.168.100.4,10.0.50.70,Malicious
751,TCP,Brute Force Login,Critical,192.168.100.45,10.0.50.70,Malicious
405,UDP,Unauthorized Access,High,192.168.100.49,10.0.50.61,Malicious
1159,TCP,Botnet Traffic,High,192.168.100.93,10.0.50.195,Malicious
1297,ICMP,Port Scan,Critical,192.168.100.94,10.0.50.156,Malicious
1361,UDP,Malware Command,Critical,192.168.100.235,10.0.50.238,Malicious
1057,ICMP,Port Scan,Critical,192.168.100.184,10.0.50.223,Malicious
577,UDP,Suspicious Payload,High,192.168.100.93,10.0.50.64,Malicious
926,TCP,Malware Command,High,192.168.100.233,10.0.50.33,Malicious
228,TCP,ARP Spoofing,High,192.168.100.202,10.0.50.42,Malicious
1442,TCP,ARP Spoofing,High,192.168.100.64,10.0.50.102,Malicious
1097,UDP,Port Scan,Critical,192.168.100.124,10.0.50.55,Malicious
358,UDP,SQL Injection,Critical,192.168.100.108,10.0.50.66,Malicious
1011,TCP,Port Scan,High,192.168.100.205,10.0.50.115,Malicious
773,TCP,Suspicious Payload,High,192.168.100.71,10.0.50.249,Malicious
254,ICMP,Data Exfiltration,High,192.168.100.152,10.0.50.3,Malicious
1409,UDP,DDoS SYN Flood,High,192.168.100.33,10.0.50.13,Malicious
1122,UDP,Brute Force Login,Critical,192.168.100.205,10.0.50.203,Malicious
581,UDP,Port Scan,Critical,192.168.100.25,10.0.50.26,Malicious
769,UDP,SQL Injection,Critical,192.168.100.6,10.0.50.149,Malicious
655,TCP,Malware Command,High,192.168.100.115,10.0.50.168,Malicious
328,TCP,DDoS SYN Flood,High,192.168.100.77,10.0.50.96,Malicious
1155,ICMP,Suspicious Payload,High,192.168.100.6,10.0.50.160,Malicious
609,ICMP,Botnet Traffic,Critical,192.168.100.81,10.0.50.153,Malicious
581,ICMP,Botnet Traffic,Critical,192.168.100.236,10.0.50.232,Malicious
1216,UDP,Port Scan,High,192.168.100.207,10.0.50.122,Malicious
1206,UDP,Malware Command,Critical,192.168.100.206,10.0.50.142,Malicious
612,ICMP,Botnet Traffic,High,192.168.100.59,10.0.50.204,Malicious
558,ICMP,Malware Command,High,192.168.100.90,10.0.50.165,Malicious
1430,UDP,Botnet Traffic,Critical,192.168.100.228,10.0.50.225,Malicious
537,UDP,Malware Command,Critical,192.168.100.177,10.0.50.142,Malicious
1067,UDP,Unauthorized Access,Critical,192.168.100.234,10.0.50.224,Malicious
1456,ICMP,SQL Injection,Critical,192.168.100.103,10.0.50.109,Malicious
512,ICMP,Data Exfiltration,High,192.168.100.146,10.0.50.54,Malicious
829,UDP,SQL Injection,Critical,192.168.100.173,10.0.50.42,Malicious
1442,UDP,Data Exfiltration,High,192.168.100.146,10.0.50.61,Malicious
1164,TCP,Unauthorized Access,Critical,192.168.100.39,10.0.50.27,Malicious
623,TCP,Brute Force Login,Critical,192.168.100.174,10.0.50.135,Malicious
1326,ICMP,Unauthorized Access,Critical,192.168.100.209,10.0.50.171,Malicious
361,TCP,DDoS SYN Flood,Critical,192.168.100.163,10.0.50.203,Malicious
224,TCP,Botnet Traffic,High,192.168.100.233,10.0.50.83,Malicious
1050,ICMP,SQL Injection,Critical,192.168.100.131,10.0.50.106,Malicious
1124,ICMP,SQL Injection,Critical,192.168.100.149,10.0.50.120,Malicious
1120,TCP,Unauthorized Access,Critical,192.168.100.3,10.0.50.245,Malicious
263,ICMP,DDoS SYN Flood,Critical,192.168.100.36,10.0.50.27,Malicious
961,TCP,Port Scan,Critical,192.168.100.43,10.0.50.22,Malicious
1065,ICMP,Data Exfiltration,Critical,192.168.100.127,10.0.50.65,Malicious
960,ICMP,DDoS SYN Flood,High,192.168.100.19,10.0.50.154,Malicious
909,TCP,DDoS SYN Flood,High,192.168.100.242,10.0.50.108,Malicious
998,UDP,DDoS SYN Flood,High,192.168.100.245,10.0.50.194,Malicious
1473,UDP,Suspicious Payload,Critical,192.168.100.136,10.0.50.212,Malicious
1268,ICMP,Botnet Traffic,High,192.168.100.67,10.0.50.105,Malicious
1186,ICMP,Port Scan,High,192.168.100.167,10.0.50.118,Malicious
1094,TCP,Brute Force Login,Critical,192.168.100.183,10.0.50.237,Malicious
1322,TCP,Malware Command,High,192.168.100.40,10.0.50.88,Malicious
926,ICMP,Botnet Traffic,Critical,192.168.100.162,10.0.50.94,Malicious
1420,TCP,Port Scan,High,192.168.100.7,10.0.50.245,Malicious
1456,ICMP,Data Exfiltration,High,192.168.100.82,10.0.50.53,Malicious
353,TCP,SQL Injection,Critical,192.168.100.41,10.0.50.60,Malicious
213,ICMP,Suspicious Payload,Critical,192.168.100.133,10.0.50.71,Malicious
347,ICMP,DDoS SYN Flood,Critical,192.168.100.124,10.0.50.185,Malicious
1450,UDP,Botnet Traffic,High,192.168.100.150,10.0.50.52,Malicious
1450,TCP,DDoS SYN Flood,Critical,192.168.100.212,10.0.50.211,Malicious
1033,TCP,Suspicious Payload,High,192.168.100.54,10.0.50.173,Malicious
949,TCP,DDoS SYN Flood,High,192.168.100.103,10.0.50.188,Malicious
736,TCP,Malware Command,Critical,192.168.100.95,10.0.50.10,Malicious
471,UDP,ARP Spoofing,High,192.168.100.213,10.0.50.138,Malicious
215,ICMP,DDoS SYN Flood,High,192.168.100.103,10.0.50.23,Malicious
661,UDP,Port Scan,Critical,192.168.100.78,10.0.50.226,Malicious
376,ICMP,Brute Force Login,Critical,192.168.100.97,10.0.50.218,Malicious
1494,TCP,Data Exfiltration,High,192.168.100.229,10.0.50.229,Malicious
234,TCP,Botnet Traffic,Critical,192.168.100.253,10.0.50.178,Malicious
696,TCP,Data Exfiltration,Critical,192.168.100.53,10.0.50.100,Malicious
1067,UDP,Port Scan,Critical,192.168.100.134,10.0.50.61,Malicious
1016,UDP,Port Scan,High,192.168.100.50,10.0.50.52,Malicious
245,ICMP,ARP Spoofing,Critical,192.168.100.161,10.0.50.37,Malicious
1222,ICMP,Port Scan,Critical,192.168.100.18,10.0.50.187,Malicious
786,TCP,DDoS SYN Flood,Critical,192.168.100.215,10.0.50.187,Malicious
622,TCP,Brute Force Login,High,192.168.100.36,10.0.50.241,Malicious
1180,TCP,Brute Force Login,Critical,192.168.100.57,10.0.50.228,Malicious
288,TCP,Data Exfiltration,Critical,192.168.100.225,10.0.50.36,Malicious
1304,UDP,Malware Command,Critical,192.168.100.215,10.0.50.182,Malicious
842,UDP,Botnet Traffic,High,192.168.100.54,10.0.50.191,Malicious
969,UDP,Brute Force Login,Critical,192.168.100.61,10.0.50.129,Malicious
753,TCP,Port Scan,High,192.168.100.85,10.0.50.40,Malicious
558,ICMP,ARP Spoofing,Critical,192.168.100.52,10.0.50.172,Malicious
665,ICMP,DDoS SYN Flood,High,192.168.100.239,10.0.50.130,Malicious
1023,ICMP,Malware Command,Critical,192.168.100.55,10.0.50.227,Malicious
509,UDP,Malware Command,Critical,192.168.100.95,10.0.50.195,Malicious
525,UDP,Botnet Traffic,High,192.168.100.53,10.0.50.141,Malicious
408,TCP,Port Scan,High,192.168.100.82,10.0.50.192,Malicious
284,TCP,Data Exfiltration,Critical,192.168.100.140,10.0.50.226,Malicious
1225,ICMP,Malware Command,Critical,192.168.100.115,10.0.50.94,Malicious
625,UDP,Unauthorized Access,Critical,192.168.100.144,10.0.50.41,Malicious
1192,UDP,Port Scan,High,192.168.100.220,10.0.50.5,Malicious
639,UDP,Suspicious Payload,Critical,192.168.100.110,10.0.50.29,Malicious
837,TCP,Malware Command,Critical,192.168.100.91,10.0.50.40,Malicious
623,ICMP,ARP Spoofing,High,192.168.100.245,10.0.50.222,Malicious
542,UDP,ARP Spoofing,Critical,192.168.100.94,10.0.50.109,Malicious
1041,TCP,Brute Force Login,Critical,192.168.100.37,10.0.50.48,Malicious
1169,ICMP,Suspicious Payload,High,192.168.100.44,10.0.50.51,Malicious
1097,ICMP,Data Exfiltration,High,192.168.100.79,10.0.50.242,Malicious
1267,UDP,Botnet Traffic,High,192.168.100.193,10.0.50.1,Malicious
1355,ICMP,DDoS SYN Flood,Critical,192.168.100.97,10.0.50.160,Malicious
1049,ICMP,Port Scan,High,192.168.100.246,10.0.50.137,Malicious
265,TCP,Port Scan,Critical,192.168.100.207,10.0.50.62,Malicious
641,ICMP,Data Exfiltration,High,192.168.100.225,10.0.50.246,Malicious
1175,UDP,Malware Command,Critical,192.168.100.50,10.0.50.42,Malicious
698,UDP,Unauthorized Access,High,192.168.100.84,10.0.50.153,Malicious
684,UDP,Unauthorized Access,Critical,192.168.100.221,10.0.50.19,Malicious
1330,TCP,Botnet Traffic,Critical,192.168.100.105,10.0.50.118,Malicious
786,TCP,Data Exfiltration,High,192.168.100.141,10.0.50.189,Malicious
411,ICMP,ARP Spoofing,Critical,192.168.100.21,10.0.50.75,Malicious
758,TCP,DDoS SYN Flood,High,192.168.100.25,10.0.50.141,Malicious
1148,TCP,Data Exfiltration,Critical,192.168.100.240,10.0.50.203,Malicious
805,ICMP,SQL Injection,High,192.168.100.67,10.0.50.27,Malicious
799,ICMP,Suspicious Payload,Critical,192.168.100.196,10.0.50.92,Malicious
1263,UDP,Suspicious Payload,Critical,192.168.100.15,10.0.50.198,Malicious
1197,UDP,Botnet Traffic,High,192.168.100.104,10.0.50.131,Malicious
1123,TCP,Botnet Traffic,Critical,192.168.100.252,10.0.50.120,Malicious
968,ICMP,Data Exfiltration,Critical,192.168.100.153,10.0.50.11,Malicious
229,UDP,SQL Injection,High,192.168.100.57,10.0.50.196,Malicious
1236,UDP,Suspicious Payload,High,192.168.100.147,10.0.50.14,Malicious
1382,UDP,DDoS SYN Flood,High,192.168.100.84,10.0.50.139,Malicious
694,UDP,Unauthorized Access,Critical,192.168.100.229,10.0.50.183,Malicious
326,ICMP,Botnet Traffic,Critical,192.168.100.49,10.0.50.110,Malicious
1359,UDP,Suspicious Payload,High,192.168.100.70,10.0.50.154,Malicious
824,UDP,Botnet Traffic,High,192.168.100.62,10.0.50.29,Malicious
632,ICMP,Brute Force Login,High,192.168.100.89,10.0.50.34,Malicious
288,ICMP,Malware Command,Critical,192.168.100.178,10.0.50.139,Malicious
292,ICMP,ARP Spoofing,High,192.168.100.150,10.0.50.30,Malicious
697,TCP,Malware Command,High,192.168.100.112,10.0.50.77,Malicious
222,UDP,Brute Force Login,High,192.168.100.193,10.0.50.187,Malicious
964,TCP,Brute Force Login,High,192.168.100.111,10.0.50.146,Malicious
634,TCP,Data Exfiltration,Critical,192.168.100.44,10.0.50.147,Malicious
603,ICMP,Unauthorized Access,Critical,192.168.100.152,10.0.50.19,Malicious
1156,TCP,DDoS SYN Flood,Critical,192.168.100.147,10.0.50.179,Malicious
254,UDP,Botnet Traffic,Critical,192.168.100.62,10.0.50.226,Malicious
1003,ICMP,ARP Spoofing,Critical,192.168.100.6,10.0.50.109,Malicious
746,TCP,DDoS SYN Flood,High,192.168.100.189,10.0.50.32,Malicious
857,TCP,Data Exfiltration,High,192.168.100.140,10.0.50.168,Malicious
1029,ICMP,Suspicious Payload,High,192.168.100.15,10.0.50.156,Malicious
914,TCP,ARP Spoofing,Critical,192.168.100.45,10.0.50.159,Malicious
1303,ICMP,Suspicious Payload,High,192.168.100.168,10.0.50.196,Malicious
744,UDP,SQL Injection,High,192.168.100.199,10.0.50.151,Malicious
1289,ICMP,Data Exfiltration,High,192.168.100.90,10.0.50.14,Malicious
826,TCP,DDoS SYN Flood,High,192.168.100.220,10.0.50.105,Malicious
1352,ICMP,Port Scan,High,192.168.100.61,10.0.50.108,Malicious
686,ICMP,SQL Injection,High,192.168.100.177,10.0.50.60,Malicious
1349,UDP,SQL Injection,High,192.168.100.22,10.0.50.20,Malicious
305,TCP,Port Scan,High,192.168.100.227,10.0.50.19,Malicious
406,ICMP,ARP Spoofing,High,192.168.100.156,10.0.50.168,Malicious
710,ICMP,Port Scan,Critical,192.168.100.8,10.0.50.85,Malicious
443,ICMP,Data Exfiltration,Critical,192.168.100.22,10.0.50.37,Malicious
337,TCP,ARP Spoofing,High,192.168.100.107,10.0.50.19,Malicious
1027,ICMP,DDoS SYN Flood,High,192.168.100.23,10.0.50.4,Malicious
1244,UDP,Data Exfiltration,Critical,192.168.100.222,10.0.50.36,Malicious
523,TCP,Data Exfiltration,High,192.168.100.36,10.0.50.241,Malicious
1091,TCP,SQL Injection,Critical,192.168.100.103,10.0.50.252,Malicious
1320,ICMP,Brute Force Login,High,192.168.100.69,10.0.50.46,Malicious
458,ICMP,Unauthorized Access,High,192.168.100.246,10.0.50.3,Malicious
280,ICMP,Brute Force Login,Critical,192.168.100.201,10.0.50.79,Malicious
1419,UDP,Brute Force Login,High,192.168.100.36,10.0.50.115,Malicious
761,TCP,Data Exfiltration,High,192.168.100.127,10.0.50.232,Malicious
707,ICMP,Malware Command,High,192.168.100.247,10.0.50.168,Malicious
883,ICMP,ARP Spoofing,Critical,192.168.100.104,10.0.50.165,Malicious
523,TCP,DDoS SYN Flood,Critical,192.168.100.9,10.0.50.34,Malicious
236,UDP,Brute Force Login,Critical,192.168.100.41,10.0.50.39,Malicious
1109,TCP,ARP Spoofing,Critical,192.168.100.169,10.0.50.100,Malicious
845,ICMP,Suspicious Payload,High,192.168.100.93,10.0.50.125,Malicious
1371,UDP,Unauthorized Access,High,192.168.100.31,10.0.50.44,Malicious
922,UDP,Suspicious Payload,High,192.168.100.168,10.0.50.134,Malicious
980,ICMP,Port Scan,Critical,192.168.100.52,10.0.50.93,Malicious
307,ICMP,ARP Spoofing,Critical,192.168.100.8,10.0.50.89,Malicious
1234,TCP,Data Exfiltration,High,192.168.100.83,10.0.50.36,Malicious
1151,ICMP,Data Exfiltration,Critical,192.168.100.145,10.0.50.43,Malicious
692,ICMP,Malware Command,Critical,192.168.100.27,10.0.50.54,Malicious
830,UDP,Brute Force Login,Critical,192.168.100.168,10.0.50.54,Malicious
1348,TCP,Suspicious Payload,Critical,192.168.100.80,10.0.50.172,Malicious
569,UDP,Brute Force Login,Critical,192.168.100.181,10.0.50.96,Malicious
322,TCP,Botnet Traffic,High,192.168.100.185,10.0.50.85,Malicious
340,ICMP,SQL Injection,Critical,192.168.100.140,10.0.50.126,Malicious
498,UDP,Port Scan,Critical,192.168.100.71,10.0.50.216,Malicious
1213,TCP,Unauthorized Access,High,192.168.100.80,10.0.50.170,Malicious
1092,UDP,Malware Command,Critical,192.168.100.28,10.0.50.129,Malicious
881,TCP,Data Exfiltration,High,192.168.100.232,10.0.50.83,Malicious
466,UDP,Suspicious Payload,Critical,192.168.100.149,10.0.50.57,Malicious
1244,TCP,Suspicious Payload,Critical,192.168.100.202,10.0.50.68,Malicious
924,ICMP,ARP Spoofing,High,192.168.100.162,10.0.50.134,Malicious
327,UDP,Brute Force Login,High,192.168.100.32,10.0.50.10,Malicious
498,ICMP,Unauthorized Access,High,192.168.100.230,10.0.50.8,Malicious
315,ICMP,Botnet Traffic,Critical,192.168.100.112,10.0.50.33,Malicious
1223,TCP,Unauthorized Access,High,192.168.100.77,10.0.50.108,Malicious
408,ICMP,Suspicious Payload,High,192.168.100.3,10.0.50.113,Malicious
1189,UDP,Brute Force Login,Critical,192.168.100.242,10.0.50.147,Malicious
833,TCP,SQL Injection,High,192.168.100.25,10.0.50.49,Malicious
397,ICMP,Suspicious Payload,High,192.168.100.105,10.0.50.23,Malicious
1478,ICMP,Botnet Traffic,High,192.168.100.82,10.0.50.109,Malicious
1474,UDP,Port Scan,Critical,192.168.100.49,10.0.50.24,Malicious
466,TCP,Unauthorized Access,Critical,192.168.100.9,10.0.50.14,Malicious
405,ICMP,Unauthorized Access,Critical,192.168.100.168,10.0.50.98,Malicious
1222,UDP,Suspicious Payload,High,192.168.100.160,10.0.50.241,Malicious
357,ICMP,DDoS SYN Flood,High,192.168.100.226,10.0.50.113,Malicious
551,UDP,Data Exfiltration,Critical,192.168.100.84,10.0.50.21,Malicious
548,ICMP,SQL Injection,Critical,192.168.100.24,10.0.50.108,Malicious
786,ICMP,Brute Force Login,Critical,192.168.100.126,10.0.50.67,Malicious
594,ICMP,Brute Force Login,Critical,192.168.100.172,10.0.50.208,Malicious
1299,ICMP,Port Scan,High,192.168.100.131,10.0.50.48,Malicious
486,UDP,DDoS SYN Flood,High,192.168.100.98,10.0.50.193,Malicious
821,ICMP,Unauthorized Access,High,192.168.100.65,10.0.50.162,Malicious
283,UDP,Brute Force Login,Critical,192.168.100.181,10.0.50.95,Malicious
1255,ICMP,Port Scan,High,192.168.100.143,10.0.50.191,Malicious
762,UDP,Malware Command,Critical,192.168.100.201,10.0.50.144,Malicious
443,TCP,SQL Injection,High,192.168.100.207,10.0.50.120,Malicious
801,TCP,Malware Command,High,192.168.100.31,10.0.50.5,Malicious
604,TCP,Unauthorized Access,High,192.168.100.231,10.0.50.97,Malicious
351,UDP,DDoS SYN Flood,Critical,192.168.100.65,10.0.50.111,Malicious
1213,TCP,Suspicious Payload,Critical,192.168.100.80,10.0.50.29,Malicious
310,ICMP,Data Exfiltration,Critical,192.168.100.253,10.0.50.105,Malicious
724,TCP,Brute Force Login,Critical,192.168.100.86,10.0.50.167,Malicious
778,TCP,ARP Spoofing,High,192.168.100.56,10.0.50.127,Malicious
1109,UDP,Brute Force Login,High,192.168.100.203,10.0.50.188,Malicious
456,UDP,DDoS SYN Flood,Critical,192.168.100.222,10.0.50.70,Malicious
298,ICMP,SQL Injection,Critical,192.168.100.15,10.0.50.42,Malicious
405,UDP,SQL Injection,Critical,192.168.100.242,10.0.50.228,Malicious
400,TCP,Port Scan,Critical,192.168.100.83,10.0.50.97,Malicious
504,ICMP,DDoS SYN Flood,High,192.168.100.197,10.0.50.206,Malicious
721,UDP,Malware Command,Critical,192.168.100.29,10.0.50.23,Malicious
1481,TCP,ARP Spoofing,Critical,192.168.100.240,10.0.50.33,Malicious
615,UDP,Port Scan,Critical,192.168.100.21,10.0.50.106,Malicious
722,ICMP,Port Scan,Critical,192.168.100.212,10.0.50.120,Malicious
481,TCP,Botnet Traffic,High,192.168.100.213,10.0.50.244,Malicious
973,TCP,Port Scan,High,192.168.100.38,10.0.50.176,Malicious
610,TCP,DDoS SYN Flood,Critical,192.168.100.83,10.0.50.212,Malicious
853,UDP,Suspicious Payload,High,192.168.100.70,10.0.50.114,Malicious
471,ICMP,ARP Spoofing,High,192.168.100.11,10.0.50.173,Malicious
1265,TCP,Data Exfiltration,High,192.168.100.203,10.0.50.153,Malicious
881,TCP,Unauthorized Access,Critical,192.168.100.200,10.0.50.119,Malicious
1246,UDP,SQL Injection,High,192.168.100.5,10.0.50.186,Malicious
1071,UDP,Botnet Traffic,Critical,192.168.100.250,10.0.50.141,Malicious
