Packet_Size,Protocol_Type,Info,Traffic_Type,Source_IP,Destination_IP
1267,UDP,Unauthorized Access,Normal,172.16.3.233,192.168.104.163
637,TCP,Cloud Sync,Malicious,172.16.149.174,192.168.11.109
905,TCP,Brute Force Login,Normal,172.16.57.151,192.168.79.137
704,ICMP,DNS Query,Malicious,172.16.49.174,192.168.127.17
904,ICMP,ARP Spoofing,Malicious,172.16.251.206,192.168.32.160
58,TCP,Suspicious Payload,Malicious,172.16.147.61,192.168.156.114
368,UDP,DNS Query,Normal,172.16.54.141,192.168.165.129
423,TCP,User Login,Normal,172.16.75.28,192.168.198.61
720,UDP,Heartbeat Packet,Normal,172.16.233.98,192.168.164.47
639,UDP,Malware Command,Normal,172.16.208.136,192.168.190.188
457,TCP,Data Exfiltration,Normal,172.16.34.147,192.168.47.63
503,ICMP,Data Exfiltration,Malicious,172.16.209.105,192.168.163.187
514,TCP,Cloud Sync,Malicious,172.16.155.236,192.168.172.45
88,TCP,Web Request,Malicious,172.16.182.176,192.168.181.113
1209,UDP,ARP Spoofing,Malicious,172.16.175.244,192.168.245.62
1140,ICMP,Malware Command,Malicious,172.16.222.20,192.168.45.101
1297,TCP,Malware Command,Normal,172.16.214.143,192.168.117.220
1426,UDP,Database Query,Normal,172.16.160.163,192.168.5.144
687,UDP,Malware Command,Malicious,172.16.65.139,192.168.162.5
140,TCP,SQL Injection,Normal,172.16.56.227,192.168.183.88
255,ICMP,Port Scan,Normal,172.16.74.6,192.168.176.23
1178,TCP,File Transfer,Malicious,172.16.116.157,192.168.244.84
1397,UDP,Cloud Sync,Normal,172.16.238.102,192.168.225.241
1237,UDP,API Request,Malicious,172.16.192.201,192.168.34.152
1001,TCP,File Transfer,Normal,172.16.235.153,192.168.45.59
773,TCP,Database Query,Normal,172.16.45.177,192.168.242.213
822,ICMP,Port Scan,Normal,172.16.31.133,192.168.214.216
1450,ICMP,Email Transmission,Normal,172.16.3.194,192.168.43.56
66,ICMP,Cloud Sync,Normal,172.16.216.148,192.168.196.236
591,ICMP,ARP Spoofing,Malicious,172.16.185.130,192.168.92.193
84,UDP,Brute Force Login,Malicious,172.16.57.249,192.168.172.107
691,TCP,Suspicious Payload,Normal,172.16.83.157,192.168.36.71
375,ICMP,User Login,Normal,172.16.231.145,192.168.152.96
1024,ICMP,Port Scan,Normal,172.16.103.7,192.168.241.112
1102,TCP,VPN Tunnel,Normal,172.16.227.15,192.168.188.104
1000,ICMP,DDoS SYN Flood,Normal,172.16.139.205,192.168.22.142
628,ICMP,User Login,Malicious,172.16.98.16,192.168.66.205
611,ICMP,ARP Spoofing,Malicious,172.16.216.165,192.168.199.23
476,UDP,Web Request,Normal,172.16.233.165,192.168.24.187
1074,TCP,Database Query,Malicious,172.16.157.195,192.168.126.144
618,TCP,Malware Command,Normal,172.16.79.13,192.168.3.197
824,TCP,File Transfer,Malicious,172.16.157.58,192.168.226.78
381,TCP,Data Exfiltration,Malicious,172.16.250.206,192.168.70.52
304,ICMP,Port Scan,Normal,172.16.243.61,192.168.82.113
70,ICMP,API Request,Normal,172.16.75.206,192.168.42.114
1266,TCP,ARP Spoofing,Malicious,172.16.92.193,192.168.100.10
720,TCP,DNS Query,Malicious,172.16.7.159,192.168.78.64
768,TCP,VPN Tunnel,Normal,172.16.219.199,192.168.120.111
53,UDP,Database Query,Malicious,172.16.192.100,192.168.155.132
342,UDP,Port Scan,Malicious,172.16.56.30,192.168.63.251
1002,UDP,File Transfer,Malicious,172.16.174.111,192.168.15.77
1142,ICMP,Cloud Sync,Malicious,172.16.202.55,192.168.109.90
1430,TCP,Data Exfiltration,Normal,172.16.215.2,192.168.217.249
1402,TCP,Port Scan,Normal,172.16.245.27,192.168.157.141
755,UDP,Web Request,Normal,172.16.140.113,192.168.244.47
941,UDP,Web Request,Malicious,172.16.59.221,192.168.155.188
1276,ICMP,Suspicious Payload,Normal,172.16.135.1,192.168.244.71
564,UDP,Heartbeat Packet,Normal,172.16.17.16,192.168.103.140
529,ICMP,VPN Tunnel,Normal,172.16.113.228,192.168.169.251
90,TCP,Suspicious Payload,Normal,172.16.244.111,192.168.188.229
1483,TCP,Unauthorized Access,Malicious,172.16.149.247,192.168.241.198
892,TCP,API Request,Normal,172.16.241.140,192.168.136.118
806,ICMP,Port Scan,Normal,172.16.154.156,192.168.94.200
678,UDP,Botnet Traffic,Malicious,172.16.162.37,192.168.251.239
1019,TCP,Cloud Sync,Malicious,172.16.78.245,192.168.24.220
586,UDP,Botnet Traffic,Normal,172.16.36.6,192.168.222.20
1350,TCP,VPN Tunnel,Normal,172.16.84.125,192.168.150.36
251,TCP,Port Scan,Malicious,172.16.84.150,192.168.168.88
296,TCP,Unauthorized Access,Normal,172.16.241.61,192.168.182.127
1123,ICMP,Cloud Sync,Normal,172.16.176.13,192.168.22.73
818,TCP,Brute Force Login,Malicious,172.16.91.191,192.168.6.153
502,UDP,File Transfer,Normal,172.16.91.2,192.168.165.232
1071,UDP,API Request,Malicious,172.16.63.110,192.168.102.194
984,TCP,User Login,Normal,172.16.239.250,192.168.19.28
335,ICMP,Brute Force Login,Malicious,172.16.165.233,192.168.227.40
57,ICMP,File Transfer,Malicious,172.16.121.203,192.168.159.154
932,TCP,DNS Query,Normal,172.16.132.43,192.168.142.57
58,UDP,Malware Command,Normal,172.16.10.204,192.168.24.186
1047,UDP,Database Query,Malicious,172.16.236.189,192.168.115.53
1266,TCP,Port Scan,Malicious,172.16.54.52,192.168.89.89
782,UDP,Brute Force Login,Normal,172.16.108.214,192.168.187.3
311,TCP,Cloud Sync,Normal,172.16.94.63,192.168.229.66
577,UDP,ARP Spoofing,Normal,172.16.73.102,192.168.22.235
866,UDP,Database Query,Malicious,172.16.59.210,192.168.31.113
971,ICMP,ARP Spoofing,Normal,172.16.13.193,192.168.136.58
480,TCP,Unauthorized Access,Malicious,172.16.23.13,192.168.213.124
584,TCP,File Transfer,Malicious,172.16.183.29,192.168.119.247
1232,TCP,Unauthorized Access,Normal,172.16.155.212,192.168.174.99
654,ICMP,Heartbeat Packet,Normal,172.16.21.41,192.168.142.49
1139,UDP,SQL Injection,Normal,172.16.159.54,192.168.74.83
1132,ICMP,API Request,Malicious,172.16.218.194,192.168.82.60
1452,TCP,Database Query,Normal,172.16.55.239,192.168.144.95
1035,TCP,Heartbeat Packet,Normal,172.16.247.62,192.168.119.4
526,TCP,File Transfer,Normal,172.16.12.153,192.168.228.235
1083,UDP,Botnet Traffic,Malicious,172.16.92.89,192.168.77.169
1210,ICMP,Malware Command,Malicious,172.16.189.64,192.168.234.127
1377,UDP,User Login,Normal,172.16.110.229,192.168.195.46
