Packet_Size,Protocol_Type,Threat_Type,Risk_Level,Source_IP,Destination_IP,Label
1093,ICMP,ARP Spoofing,High,192.168.100.222,10.0.50.157,Malicious
1467,UDP,Suspicious Payload,High,192.168.100.74,10.0.50.5,Malicious
448,UDP,Brute Force Login,High,192.168.100.122,10.0.50.173,Malicious
1360,ICMP,ARP Spoofing,Critical,192.168.100.53,10.0.50.237,Malicious
1169,ICMP,SQL Injection,High,192.168.100.200,10.0.50.250,Malicious
1305,UDP,ARP Spoofing,Critical,192.168.100.169,10.0.50.148,Malicious
567,TCP,Unauthorized Access,Critical,192.168.100.197,10.0.50.42,Malicious
702,TCP,Botnet Traffic,Critical,192.168.100.78,10.0.50.106,Malicious
1089,ICMP,Data Exfiltration,High,192.168.100.200,10.0.50.225,Malicious
704,UDP,DDoS SYN Flood,High,192.168.100.100,10.0.50.151,Malicious
945,ICMP,Malware Command,Critical,192.168.100.166,10.0.50.196,Malicious
996,ICMP,DDoS SYN Flood,Critical,192.168.100.23,10.0.50.15,Malicious
736,ICMP,Data Exfiltration,High,192.168.100.65,10.0.50.236,Malicious
1106,TCP,ARP Spoofing,High,192.168.100.35,10.0.50.24,Malicious
1489,UDP,DDoS SYN Flood,High,192.168.100.227,10.0.50.158,Malicious
770,TCP,Botnet Traffic,Critical,192.168.100.44,10.0.50.149,Malicious
696,TCP,Data Exfiltration,High,192.168.100.169,10.0.50.199,Malicious
1420,ICMP,Botnet Traffic,Critical,192.168.100.168,10.0.50.34,Malicious
708,UDP,Suspicious Payload,Critical,192.168.100.185,10.0.50.57,Malicious
265,TCP,ARP Spoofing,Critical,192.168.100.225,10.0.50.51,Malicious
1488,TCP,Malware Command,High,192.168.100.10,10.0.50.33,Malicious
242,ICMP,Unauthorized Access,Critical,192.168.100.226,10.0.50.23,Malicious
1497,UDP,Suspicious Payload,Critical,192.168.100.198,10.0.50.85,Malicious
1143,ICMP,SQL Injection,Critical,192.168.100.56,10.0.50.134,Malicious
1284,TCP,Unauthorized Access,High,192.168.100.244,10.0.50.130,Malicious
967,TCP,Brute Force Login,Critical,192.168.100.115,10.0.50.191,Malicious
1087,ICMP,Unauthorized Access,High,192.168.100.252,10.0.50.92,Malicious
780,ICMP,DDoS SYN Flood,High,192.168.100.222,10.0.50.178,Malicious
1059,TCP,Unauthorized Access,High,192.168.100.227,10.0.50.44,Malicious
1388,UDP,Botnet Traffic,Critical,192.168.100.46,10.0.50.254,Malicious
708,ICMP,Data Exfiltration,Critical,192.168.100.138,10.0.50.11,Malicious
